Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,0,Bajra,601.8,28.96222,31.99185,979,1047.986642,1,0.47,0.69,0.28
2009,0,Bajra,601.8,30.25,38.08333,76,106.7891797,1,1,0.88,0.02
2010,0,Bajra,462.2,29.75,41.75,1361,1516.702029,0,0.79,1,0.39
2011,0,Bajra,462.2,28.91667,40.08333,1279,1357.035966,0,0.45,0.95,0.37
2012,0,Bajra,462.2,29.08333,35.41667,1078,1114.022452,0,0.52,0.8,0.31
2013,0,Bajra,462.2,29.08,38.58,1231,1182.491495,0,0.52,0.9,0.35
2014,0,Bajra,601.8,29.58,35.58,1282,1325.741284,1,0.72,0.8,0.37
2015,0,Bajra,462.2,28.17,33.83333,771,954.0689695,0,0.14,0.75,0.22
2016,0,Bajra,462.2,27.83,14.28,981,1075.003679,0,0,0.13,0.28
2017,0,Bajra,462.2,28,10.32,1190,1195.653451,0,0.07,0,0.34
2008,0,Jowar,601.8,28.96222,31.99185,536,562.3275702,1,0.47,0.69,0.15
2009,0,Jowar,601.8,30.25,38.08333,16,200.6524561,1,1,0.88,0
2010,0,Jowar,462.2,29.75,41.75,758,813.0345386,0,0.79,1,0.22
2011,0,Jowar,462.2,28.91667,40.08333,768,699.3228147,0,0.45,0.95,0.22
2012,0,Jowar,462.2,29.08333,35.41667,776,681.7460195,0,0.52,0.8,0.22
2013,0,Jowar,462.2,29.08,38.58,599,584.6855823,0,0.52,0.9,0.17
2014,0,Jowar,601.8,29.58,35.58,562,566.3609382,1,0.72,0.8,0.16
2015,0,Jowar,462.2,28.17,33.83333,307,427.8706032,0,0.14,0.75,0.08
2016,0,Jowar,462.2,27.83,14.28,567,553.862499,0,0,0.13,0.16
2017,0,Jowar,462.2,28,10.32,588,573.4130344,0,0.07,0,0.17
2008,0,Maize,601.8,28.96222,31.99185,719,1217.788959,1,0.47,0.69,0.2
2009,0,Maize,601.8,30.25,38.08333,60,727.5631679,1,1,0.88,0.01
2010,0,Maize,462.2,29.75,41.75,1506,1545.38795,0,0.79,1,0.43
2011,0,Maize,462.2,28.91667,40.08333,1185,1227.904831,0,0.45,0.95,0.34
2012,0,Maize,462.2,29.08333,35.41667,839,1091.149689,0,0.52,0.8,0.24
2013,0,Maize,462.2,29.08,38.58,1104,1199.738618,0,0.52,0.9,0.32
2014,0,Maize,601.8,29.58,35.58,960,1148.437771,1,0.72,0.8,0.28
2015,0,Maize,462.2,28.17,33.83333,667,927.9461689,0,0.14,0.75,0.19
2016,0,Maize,462.2,27.83,14.28,1100,1327.196876,0,0,0.13,0.32
2017,0,Maize,462.2,28,10.32,1255,1392.861211,0,0.07,0,0.36
2008,0,Rice,601.8,28.96222,31.99185,1750,1908.137628,1,0.47,0.69,0.51
2009,0,Rice,601.8,30.25,38.08333,1571,1351.053645,1,1,0.88,0.45
2010,0,Rice,462.2,29.75,41.75,300,966.0391086,0,0.79,1,0.08
2011,0,Rice,462.2,28.91667,40.08333,1889,1922.449804,0,0.45,0.95,0.55
2012,0,Rice,462.2,29.08333,35.41667,1800,1817.182612,0,0.52,0.8,0.52
2013,0,Rice,462.2,29.08,38.58,2200,2074.910639,0,0.52,0.9,0.64
2014,0,Rice,601.8,29.58,35.58,2222,1848.457965,1,0.72,0.8,0.64
2015,0,Rice,462.2,28.17,33.83333,2000,2094.102028,0,0.14,0.75,0.58
2016,0,Rice,462.2,27.83,14.28,2286,2259.017649,0,0,0.13,0.66
2017,0,Rice,462.2,28,10.32,2333,2284.059631,0,0.07,0,0.68
2008,0,Wheat,601.8,28.96222,31.99185,2258,2062.033064,1,0.47,0.69,0.65
2009,0,Wheat,601.8,30.25,38.08333,2472,1918.329443,1,1,0.88,0.72
2010,0,Wheat,462.2,29.75,41.75,3232,3282.715111,0,0.79,1,0.94
2011,0,Wheat,462.2,28.91667,40.08333,3152,2910.570922,0,0.45,0.95,0.91
2012,0,Wheat,462.2,29.08333,35.41667,3317,3357.243263,0,0.52,0.8,0.96
2013,0,Wheat,462.2,29.08,38.58,3448,3342.20786,0,0.52,0.9,1
2014,0,Wheat,601.8,29.58,35.58,2113,2213.207946,1,0.72,0.8,0.61
2015,0,Wheat,462.2,28.17,33.83333,2761,2778.01893,0,0.14,0.75,0.8
2016,0,Wheat,462.2,27.83,14.28,3336,3344.288959,0,0,0.13,0.97
2017,0,Wheat,462.2,28,10.32,3174,2947.342843,0,0.07,0,0.92
