Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,1,Bajra,657.3,28.98815,34.87037,1732,1743.38715,0.97,0.48,0.64,0.38
2009,1,Bajra,657.3,30.25,44.08333,1942,1858.494542,0.97,1,0.9,0.43
2010,1,Bajra,630.9,28.83333,47.75,1861,1855.310761,0,0.41,1,0.41
2011,1,Bajra,630.9,27.83333,46.41667,2065,2100.376909,0,0,0.96,0.46
2012,1,Bajra,630.9,29.66667,38.5,1982,1927.422027,0,0.76,0.74,0.44
2013,1,Bajra,630.9,29.41,41.42,1871,1919.266142,0,0.65,0.82,0.41
2014,1,Bajra,658,29.91,35.75,2080,2064.667859,1,0.86,0.66,0.46
2015,1,Bajra,630.9,27.99,32.58333,1784,1686.14808,0,0.06,0.57,0.39
2016,1,Bajra,630.9,28.33,15.25,2149,2117.894857,0,0.21,0.09,0.48
2017,1,Bajra,630.9,28.67,12.08,1958,2016.665935,0,0.35,0,0.43
2008,1,Jowar,657.3,28.98815,34.87037,573,650.8103732,0.97,0.48,0.64,0.1
2009,1,Jowar,657.3,30.25,44.08333,143,471.8510506,0.97,1,0.9,0
2010,1,Jowar,630.9,28.83333,47.75,656,760.1327535,0,0.41,1,0.12
2011,1,Jowar,630.9,27.83333,46.41667,946,869.040981,0,0,0.96,0.19
2012,1,Jowar,630.9,29.66667,38.5,728,797.5614992,0,0.76,0.74,0.14
2013,1,Jowar,630.9,29.41,41.42,844,818.0350431,0,0.65,0.82,0.17
2014,1,Jowar,658,29.91,35.75,901,824.7509669,1,0.86,0.66,0.18
2015,1,Jowar,630.9,27.99,32.58333,862,814.2009523,0,0.06,0.57,0.17
2016,1,Jowar,630.9,28.33,15.25,870,802.4631212,0,0.21,0.09,0.17
2017,1,Jowar,630.9,28.67,12.08,684,772.0059054,0,0.35,0,0.13
2008,1,Maize,657.3,28.98815,34.87037,1784,1627.538116,0.97,0.48,0.64,0.39
2009,1,Maize,657.3,30.25,44.08333,1000,1056.645945,0.97,1,0.9,0.2
2010,1,Maize,630.9,28.83333,47.75,1801,1703.187043,0,0.41,1,0.39
2011,1,Maize,630.9,27.83333,46.41667,1884,1721.252878,0,0,0.96,0.41
2012,1,Maize,630.9,29.66667,38.5,1596,1645.749114,0,0.76,0.74,0.34
2013,1,Maize,630.9,29.41,41.42,1594,1608.969694,0,0.65,0.82,0.34
2014,1,Maize,658,29.91,35.75,1758,1807.759919,1,0.86,0.66,0.38
2015,1,Maize,630.9,27.99,32.58333,1595,1428.446963,0,0.06,0.57,0.34
2016,1,Maize,630.9,28.33,15.25,1517,1622.3622,0,0.21,0.09,0.33
2017,1,Maize,630.9,28.67,12.08,1764,1627.475703,0,0.35,0,0.38
2008,1,Rice,657.3,28.98815,34.87037,1808,1899.042728,0.97,0.48,0.64,0.39
2009,1,Rice,657.3,30.25,44.08333,1514,1582.775914,0.97,1,0.9,0.32
2010,1,Rice,630.9,28.83333,47.75,3037,2811.806765,0,0.41,1,0.69
2011,1,Rice,630.9,27.83333,46.41667,1885,1906.929984,0,0,0.96,0.41
2012,1,Rice,630.9,29.66667,38.5,1771,1817.669171,0,0.76,0.74,0.39
2013,1,Rice,630.9,29.41,41.42,2147,2052.174313,0,0.65,0.82,0.47
2014,1,Rice,658,29.91,35.75,2186,2037.035467,1,0.86,0.66,0.48
2015,1,Rice,630.9,27.99,32.58333,2021,2076.961329,0,0.06,0.57,0.44
2016,1,Rice,630.9,28.33,15.25,2289,2242.537923,0,0.21,0.09,0.51
2017,1,Rice,630.9,28.67,12.08,2367,2268.439907,0,0.35,0,0.53
2008,1,Wheat,657.3,28.98815,34.87037,3647,3415.452269,0.97,0.48,0.64,0.83
2009,1,Wheat,657.3,30.25,44.08333,3911,3560.469284,0.97,1,0.9,0.89
2010,1,Wheat,630.9,28.83333,47.75,4207,4169.65567,0,0.41,1,0.96
2011,1,Wheat,630.9,27.83333,46.41667,3928,4079.740167,0,0,0.96,0.9
2012,1,Wheat,630.9,29.66667,38.5,4086,3981.25051,0,0.76,0.74,0.93
2013,1,Wheat,630.9,29.41,41.42,3964,3956.391497,0,0.65,0.82,0.91
2014,1,Wheat,658,29.91,35.75,3460,3777.056451,1,0.86,0.66,0.79
2015,1,Wheat,630.9,27.99,32.58333,3645,3863.739218,0,0.06,0.57,0.83
2016,1,Wheat,630.9,28.33,15.25,4365,4233.932599,0,0.21,0.09,1
2017,1,Wheat,630.9,28.67,12.08,4294,4199.354192,0,0.35,0,0.98
