Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,2,Bajra,950.3,29.14943,32.74852,830,738.8927537,1,0.51,0.64,0.22
2009,2,Bajra,950.3,30.33333,42.75,396,600.2980983,1,1,0.91,0
2010,2,Bajra,883,30,45.41667,1111,943.139669,0,0.86,0.98,0.36
2011,2,Bajra,883,28.81818,46.08333,1287,1014.700637,0,0.37,1,0.45
2012,2,Bajra,883,29.08333,43.66667,969,885.7878871,0,0.48,0.93,0.29
2013,2,Bajra,883,28.91,45.91,939,960.1803399,0,0.41,1,0.28
2014,2,Bajra,950.3,30,41,1092,894.4108546,1,0.86,0.86,0.35
2015,2,Bajra,883,27.95,9.22,791,803.4447397,0,0.01,0,0.2
2016,2,Bajra,883,29.33,11.44,1000,873.9952698,0,0.58,0.06,0.31
2017,2,Bajra,920.2,27.92,9.25,888,819.6192865,0.55,0,0,0.25
2008,2,Jowar,950.3,29.14943,32.74852,676,621.8838435,1,0.51,0.64,0.14
2009,2,Jowar,950.3,30.33333,42.75,783,641.8301444,1,1,0.91,0.2
2010,2,Jowar,883,30,45.41667,700,581.685034,0,0.86,0.98,0.16
2011,2,Jowar,883,28.81818,46.08333,742,707.9268634,0,0.37,1,0.18
2012,2,Jowar,883,29.08333,43.66667,618,688.0948406,0,0.48,0.93,0.11
2013,2,Jowar,883,28.91,45.91,615,539.2598745,0,0.41,1,0.11
2014,2,Jowar,950.3,30,41,763,531.805034,1,0.86,0.86,0.19
2015,2,Jowar,883,27.95,9.22,543,617.3922007,0,0.01,0,0.07
2016,2,Jowar,883,29.33,11.44,602,588.4846522,0,0.58,0.06,0.11
2017,2,Jowar,920.2,27.92,9.25,584,771.1868564,0.55,0,0,0.1
2008,2,Maize,950.3,29.14943,32.74852,2127,1890.819879,1,0.51,0.64,0.88
2009,2,Maize,950.3,30.33333,42.75,971,1380.033075,1,1,0.91,0.29
2010,2,Maize,883,30,45.41667,2066,1938.331144,0,0.86,0.98,0.85
2011,2,Maize,883,28.81818,46.08333,1036,1309.126138,0,0.37,1,0.33
2012,2,Maize,883,29.08333,43.66667,1382,2324.375065,0,0.48,0.93,0.5
2013,2,Maize,883,28.91,45.91,1327,1467.954679,0,0.41,1,0.47
2014,2,Maize,950.3,30,41,1110,1353.791256,1,0.86,0.86,0.36
2015,2,Maize,883,27.95,9.22,1021,1526.315302,0,0.01,0,0.32
2016,2,Maize,883,29.33,11.44,1336,1295.089283,0,0.58,0.06,0.48
2017,2,Maize,920.2,27.92,9.25,1676,1687.464337,0.55,0,0,0.65
2008,2,Rice,950.3,29.14943,32.74852,1302,1184.70398,1,0.51,0.64,0.46
2009,2,Rice,950.3,30.33333,42.75,406,816.0782085,1,1,0.91,0.01
2010,2,Rice,883,30,45.41667,977,1137.638469,0,0.86,0.98,0.3
2011,2,Rice,883,28.81818,46.08333,1290,1176.636139,0,0.37,1,0.46
2012,2,Rice,883,29.08333,43.66667,1063,1116.536266,0,0.48,0.93,0.34
2013,2,Rice,883,28.91,45.91,968,992.2682748,0,0.41,1,0.29
2014,2,Rice,950.3,30,41,637,765.4116228,1,0.86,0.86,0.12
2015,2,Rice,883,27.95,9.22,505,699.6628053,0,0.01,0,0.06
2016,2,Rice,883,29.33,11.44,1044,1068.232679,0,0.58,0.06,0.33
2017,2,Rice,920.2,27.92,9.25,1010,1048.305299,0.55,0,0,0.31
2008,2,Wheat,950.3,29.14943,32.74852,1557,1842.614344,1,0.51,0.64,0.59
2009,2,Wheat,950.3,30.33333,42.75,2010,2034.140157,1,1,0.91,0.82
2010,2,Wheat,883,30,45.41667,2049,2110.594534,0,0.86,0.98,0.84
2011,2,Wheat,883,28.81818,46.08333,2337,2417.838383,0,0.37,1,0.99
2012,2,Wheat,883,29.08333,43.66667,2123,2258.04446,0,0.48,0.93,0.88
2013,2,Wheat,883,28.91,45.91,2257,2406.08567,0,0.41,1,0.95
2014,2,Wheat,950.3,30,41,2217,2352.468081,1,0.86,0.86,0.93
2015,2,Wheat,883,27.95,9.22,2022,2049.300202,0,0.01,0,0.83
2016,2,Wheat,883,29.33,11.44,2043,2064.00943,0,0.58,0.06,0.84
2017,2,Wheat,920.2,27.92,9.25,2357,2502.732946,0.55,0,0,1
