Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,3,Bajra,873.8,29.11444,31.78259,1227,1052.606834,1,0.44,0.63,0.27
2009,3,Bajra,873.8,31,40.08333,19,583.7354944,1,1,0.9,0
2010,3,Bajra,852.7,30.16667,43.16667,1110,1001.967947,0.91,0.75,1,0.24
2011,3,Bajra,852.7,28.83333,42.91667,1312,1299.106049,0.91,0.35,0.99,0.28
2012,3,Bajra,852.7,30,37.91667,1130,1032.407923,0.91,0.7,0.83,0.24
2013,3,Bajra,852.7,29.75,41.5,499,545.0169009,0.91,0.63,0.95,0.11
2014,3,Bajra,873.8,27.66,38,659,824.3388315,1,0,0.83,0.14
2015,3,Bajra,852.7,27.96,12.72,1093,931.1856113,0.91,0.09,0,0.24
2016,3,Bajra,852.7,28.08,16.68,1196,989.6614218,0.91,0.13,0.13,0.26
2017,3,Bajra,639.7,28.58,13.06,0,4.576037732,0,0.28,0.01,0
2008,3,Jowar,873.8,29.11444,31.78259,841,1154.20034,1,0.44,0.63,0.18
2009,3,Jowar,873.8,31,40.08333,121,630.0433349,1,1,0.9,0.03
2010,3,Jowar,852.7,30.16667,43.16667,700,572.4624205,0.91,0.75,1,0.15
2011,3,Jowar,852.7,28.83333,42.91667,2194,1547.847975,0.91,0.35,0.99,0.47
2012,3,Jowar,852.7,30,37.91667,1567,1037.635927,0.91,0.7,0.83,0.34
2013,3,Jowar,852.7,29.75,41.5,609,805.9889131,0.91,0.63,0.95,0.13
2014,3,Jowar,873.8,27.66,38,761,799.884439,1,0,0.83,0.16
2015,3,Jowar,852.7,27.96,12.72,544,711.2141969,0.91,0.09,0,0.12
2016,3,Jowar,852.7,28.08,16.68,605,799.9896886,0.91,0.13,0.13,0.13
2017,3,Jowar,639.7,28.58,13.06,583,596.3744601,0,0.28,0.01,0.13
2008,3,Maize,873.8,29.11444,31.78259,1472,1630.713282,1,0.44,0.63,0.32
2009,3,Maize,873.8,31,40.08333,1305,1446.688841,1,1,0.9,0.28
2010,3,Maize,852.7,30.16667,43.16667,2636,2033.54479,0.91,0.75,1,0.57
2011,3,Maize,852.7,28.83333,42.91667,1934,1645.232814,0.91,0.35,0.99,0.42
2012,3,Maize,852.7,30,37.91667,2829,1663.734139,0.91,0.7,0.83,0.61
2013,3,Maize,852.7,29.75,41.5,1134,1336.687001,0.91,0.63,0.95,0.25
2014,3,Maize,873.8,27.66,38,1568,1440.850236,1,0,0.83,0.34
2015,3,Maize,852.7,27.96,12.72,2404,1579.183039,0.91,0.09,0,0.52
2016,3,Maize,852.7,28.08,16.68,2571,2126.927103,0.91,0.13,0.13,0.56
2017,3,Maize,639.7,28.58,13.06,2984,2112.527817,0,0.28,0.01,0.65
2008,3,Rice,873.8,29.11444,31.78259,3134,2814.436603,1,0.44,0.63,0.68
2009,3,Rice,873.8,31,40.08333,2228,2422.985458,1,1,0.9,0.48
2010,3,Rice,852.7,30.16667,43.16667,4337,3988.482791,0.91,0.75,1,0.94
2011,3,Rice,852.7,28.83333,42.91667,2241,2473.871968,0.91,0.35,0.99,0.48
2012,3,Rice,852.7,30,37.91667,2791,2604.467757,0.91,0.7,0.83,0.6
2013,3,Rice,852.7,29.75,41.5,2711,2626.190705,0.91,0.63,0.95,0.59
2014,3,Rice,873.8,27.66,38,3505,2431.736509,1,0,0.83,0.76
2015,3,Rice,852.7,27.96,12.72,2522,2487.184585,0.91,0.09,0,0.55
2016,3,Rice,852.7,28.08,16.68,2789,2705.170073,0.91,0.13,0.13,0.6
2017,3,Rice,639.7,28.58,13.06,2641,2640.952445,0,0.28,0.01,0.57
2008,3,Wheat,873.8,29.11444,31.78259,3648,3664.108525,1,0.44,0.63,0.79
2009,3,Wheat,873.8,31,40.08333,3394,3408.224111,1,1,0.9,0.73
2010,3,Wheat,852.7,30.16667,43.16667,3475,3381.73125,0.91,0.75,1,0.75
2011,3,Wheat,852.7,28.83333,42.91667,3810,3839.019901,0.91,0.35,0.99,0.82
2012,3,Wheat,852.7,30,37.91667,4373,4351.149974,0.91,0.7,0.83,0.95
2013,3,Wheat,852.7,29.75,41.5,3386,3635.032559,0.91,0.63,0.95,0.73
2014,3,Wheat,873.8,27.66,38,3831,4090.69448,1,0,0.83,0.83
2015,3,Wheat,852.7,27.96,12.72,4207,4083.01234,0.91,0.09,0,0.91
2016,3,Wheat,852.7,28.08,16.68,4533,4360.45223,0.91,0.13,0.13,0.98
2017,3,Wheat,639.7,28.58,13.06,4623,4252.430696,0,0.28,0.01,1
