Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,4,Bajra,266,29.30444,26.82,418,338.1913221,0.1,0.5,0.64,0.21
2009,4,Bajra,265.7,30.66,31.41667,50,12.29894226,0,1,0.81,0.03
2010,4,Bajra,268.6,29.75,35.66667,560,616.5582587,0.97,0.67,0.98,0.28
2011,4,Bajra,268.6,28.91,36.16667,869,902.5114761,0.97,0.36,1,0.43
2012,4,Bajra,268.6,29.33,34,421,288.1674366,0.97,0.51,0.92,0.21
2013,4,Bajra,268.6,29.58,35.33,434,423.6968108,0.97,0.6,0.97,0.22
2014,4,Bajra,266,29.58,35.33,275,225.0275943,0.1,0.6,0.97,0.14
2015,4,Bajra,268.6,27.93,10.5,145,108.7929042,0.97,0,0,0.07
2016,4,Bajra,268.7,28.75,11.08,150,116.7360673,1,0.3,0.02,0.08
2017,4,Bajra,268.6,29.25,11.89,232,142.5904397,0.97,0.48,0.05,0.12
2008,4,Jowar,266,29.30444,26.82,453,311.5676482,0.1,0.5,0.64,0.23
2009,4,Jowar,265.7,30.66,31.41667,1,69.28977178,0,1,0.81,0
2010,4,Jowar,268.6,29.75,35.66667,700,713.3804991,0.97,0.67,0.98,0.35
2011,4,Jowar,268.6,28.91,36.16667,385,403.929104,0.97,0.36,1,0.19
2012,4,Jowar,268.6,29.33,34,141,185.7878881,0.97,0.51,0.92,0.07
2013,4,Jowar,268.6,29.58,35.33,352,324.8964486,0.97,0.6,0.97,0.18
2014,4,Jowar,266,29.58,35.33,729,641.4895304,0.1,0.6,0.97,0.36
2015,4,Jowar,268.6,27.93,10.5,159,97.17087945,0.97,0,0,0.08
2016,4,Jowar,268.7,28.75,11.08,70,45.85420474,1,0.3,0.02,0.04
2017,4,Jowar,268.6,29.25,11.89,132,179.6711509,0.97,0.48,0.05,0.07
2008,4,Maize,266,29.30444,26.82,1667,1707.326134,0.1,0.5,0.64,0.83
2009,4,Maize,265.7,30.66,31.41667,1042,1458.530403,0,1,0.81,0.52
2010,4,Maize,268.6,29.75,35.66667,2000,1739.445678,0.97,0.67,0.98,1
2011,4,Maize,268.6,28.91,36.16667,1667,1406.2897,0.97,0.36,1,0.83
2012,4,Maize,268.6,29.33,34,2000,1806.47822,0.97,0.51,0.92,1
2013,4,Maize,268.6,29.58,35.33,1615,1649.963631,0.97,0.6,0.97,0.81
2014,4,Maize,266,29.58,35.33,1714,1306.416942,0.1,0.6,0.97,0.86
2015,4,Maize,268.6,27.93,10.5,1323,1036.702902,0.97,0,0,0.66
2016,4,Maize,268.7,28.75,11.08,1600,1671.426951,1,0.3,0.02,0.8
2017,4,Maize,268.6,29.25,11.89,2000,1809.941887,0.97,0.48,0.05,1
2008,4,Rice,266,29.30444,26.82,0,65.5926753,0.1,0.5,0.64,0
2009,4,Rice,265.7,30.66,31.41667,0,-5.968879189,0,1,0.81,0
2010,4,Rice,268.6,29.75,35.66667,0,-5.968879189,0.97,0.67,0.98,0
2011,4,Rice,268.6,28.91,36.16667,0,-5.968879189,0.97,0.36,1,0
2012,4,Rice,268.6,29.33,34,0,44.97324435,0.97,0.51,0.92,0
2013,4,Rice,268.6,29.58,35.33,0,-5.968879189,0.97,0.6,0.97,0
2014,4,Rice,266,29.58,35.33,0,-5.968879189,0.1,0.6,0.97,0
2015,4,Rice,268.6,27.93,10.5,0,-5.968879189,0.97,0,0,0
2016,4,Rice,268.7,28.75,11.08,0,-5.968879189,1,0.3,0.02,0
2017,4,Rice,268.6,29.25,11.89,0,79.54111389,0.97,0.48,0.05,0
2008,4,Wheat,266,29.30444,26.82,1572,1628.834753,0.1,0.5,0.64,0.79
2009,4,Wheat,265.7,30.66,31.41667,1989,1849.515847,0,1,0.81,0.99
2010,4,Wheat,268.6,29.75,35.66667,1486,1415.585726,0.97,0.67,0.98,0.74
2011,4,Wheat,268.6,28.91,36.16667,1236,1278.245442,0.97,0.36,1,0.62
2012,4,Wheat,268.6,29.33,34,1359,1298.574694,0.97,0.51,0.92,0.68
2013,4,Wheat,268.6,29.58,35.33,1451,1395.159181,0.97,0.6,0.97,0.73
2014,4,Wheat,266,29.58,35.33,1042,1367.268582,0.1,0.6,0.97,0.52
2015,4,Wheat,268.6,27.93,10.5,1401,1374.76696,0.97,0,0,0.7
2016,4,Wheat,268.7,28.75,11.08,1229,1354.629259,1,0.3,0.02,0.61
2017,4,Wheat,268.6,29.25,11.89,1511,1405.155197,0.97,0.48,0.05,0.76
