Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,5,Bajra,663.9,28.98815,34.87037,1574,1661.28986,1,0.48,0.64,0.26
2009,5,Bajra,663.9,30.25,44.08333,1253,1470.461602,1,1,0.9,0.17
2010,5,Bajra,621.1,28.83333,47.75,1926,1915.316382,0,0.41,1,0.35
2011,5,Bajra,621.1,27.83333,46.41667,1963,1870.107861,0,0,0.96,0.36
2012,5,Bajra,621.1,29.66667,38.5,1652,1751.449703,0,0.76,0.74,0.28
2013,5,Bajra,621.1,29.41,41.42,1894,1862.288952,0,0.65,0.82,0.34
2014,5,Bajra,663.9,29.91,35.75,1781,1802.17511,1,0.86,0.66,0.31
2015,5,Bajra,621.1,27.99,32.58333,1633,1747.292487,0,0.06,0.57,0.27
2016,5,Bajra,621.1,28.33,15.25,1873,1889.037648,0,0.21,0.09,0.33
2017,5,Bajra,621.1,28.67,12.08,1465,1616.650784,0,0.35,0,0.23
2008,5,Jowar,663.9,28.98815,34.87037,1625,1377.080739,1,0.48,0.64,0.27
2009,5,Jowar,663.9,30.25,44.08333,1553,1307.149929,1,1,0.9,0.25
2010,5,Jowar,621.1,28.83333,47.75,622,745.0193879,0,0.41,1,0.01
2011,5,Jowar,621.1,27.83333,46.41667,851,836.5688356,0,0,0.96,0.07
2012,5,Jowar,621.1,29.66667,38.5,740,768.1191587,0,0.76,0.74,0.04
2013,5,Jowar,621.1,29.41,41.42,890,909.3413834,0,0.65,0.82,0.08
2014,5,Jowar,663.9,29.91,35.75,1083,930.7671852,1,0.86,0.66,0.13
2015,5,Jowar,621.1,27.99,32.58333,1109,900.7162252,0,0.06,0.57,0.14
2016,5,Jowar,621.1,28.33,15.25,697,750.6126498,0,0.21,0.09,0.03
2017,5,Jowar,621.1,28.67,12.08,569,740.283158,0,0.35,0,0
2008,5,Maize,663.9,28.98815,34.87037,1667,1721.456858,1,0.48,0.64,0.28
2009,5,Maize,663.9,30.25,44.08333,1045,1354.204447,1,1,0.9,0.12
2010,5,Maize,621.1,28.83333,47.75,1800,1671.012134,0,0.41,1,0.31
2011,5,Maize,621.1,27.83333,46.41667,1600,1627.760266,0,0,0.96,0.26
2012,5,Maize,621.1,29.66667,38.5,1833,1765.933926,0,0.76,0.74,0.32
2013,5,Maize,621.1,29.41,41.42,1625,1480.44172,0,0.65,0.82,0.27
2014,5,Maize,663.9,29.91,35.75,1500,1796.02492,1,0.86,0.66,0.24
2015,5,Maize,621.1,27.99,32.58333,1375,1394.040497,0,0.06,0.57,0.21
2016,5,Maize,621.1,28.33,15.25,2000,1841.985565,0,0.21,0.09,0.37
2017,5,Maize,621.1,28.67,12.08,2000,1320.429011,0,0.35,0,0.37
2008,5,Rice,663.9,28.98815,34.87037,1213,1397.062207,1,0.48,0.64,0.16
2009,5,Rice,663.9,30.25,44.08333,1771,1810.722451,1,1,0.9,0.31
2010,5,Rice,621.1,28.83333,47.75,3022,2288.42526,0,0.41,1,0.63
2011,5,Rice,621.1,27.83333,46.41667,2536,2312.153656,0,0,0.96,0.5
2012,5,Rice,621.1,29.66667,38.5,2087,1809.893998,0,0.76,0.74,0.39
2013,5,Rice,621.1,29.41,41.42,1955,2096.410277,0,0.65,0.82,0.35
2014,5,Rice,663.9,29.91,35.75,2194,2095.087822,1,0.86,0.66,0.42
2015,5,Rice,621.1,27.99,32.58333,2337,2176.977338,0,0.06,0.57,0.45
2016,5,Rice,621.1,28.33,15.25,2282,2215.247895,0,0.21,0.09,0.44
2017,5,Rice,621.1,28.67,12.08,2148,2156.266948,0,0.35,0,0.4
2008,5,Wheat,663.9,28.98815,34.87037,3076,3021.017836,1,0.48,0.64,0.64
2009,5,Wheat,663.9,30.25,44.08333,3484,3437.800942,1,1,0.9,0.74
2010,5,Wheat,621.1,28.83333,47.75,4483,4378.952653,0,0.41,1,1
2011,5,Wheat,621.1,27.83333,46.41667,4308,3857.534318,0,0,0.96,0.96
2012,5,Wheat,621.1,29.66667,38.5,4363,4060.233887,0,0.76,0.74,0.97
2013,5,Wheat,621.1,29.41,41.42,4307,4274.52898,0,0.65,0.82,0.96
2014,5,Wheat,663.9,29.91,35.75,3645,3833.844283,1,0.86,0.66,0.79
2015,5,Wheat,621.1,27.99,32.58333,3812,3915.205789,0,0.06,0.57,0.83
2016,5,Wheat,621.1,28.33,15.25,4448,4394.678841,0,0.21,0.09,0.99
2017,5,Wheat,621.1,28.67,12.08,4228,4270.852515,0,0.35,0,0.93
