Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,6,Bajra,683.2,29.0166,31.37778,818,783.8456547,1,0.51,0.63,0.16
2009,6,Bajra,683.2,30.33333,37.25,417,572.5534694,1,1,0.84,0.04
2010,6,Bajra,630.2,29.45455,41.58333,1110,1058.800484,0,0.67,0.99,0.25
2011,6,Bajra,630.2,28.81818,41.91667,826,1014.062157,0,0.43,1,0.16
2012,6,Bajra,630.2,29.08333,38,1665,1426.422981,0,0.53,0.86,0.42
2013,6,Bajra,630.2,29,41.41,1231,1214.236996,0,0.5,0.98,0.29
2014,6,Bajra,683.2,29.5,38.58,1251,1231.151918,1,0.69,0.88,0.29
2015,6,Bajra,630.2,27.96,13.28,1112,1126.860042,0,0.11,0,0.25
2016,6,Bajra,630.2,29.33,16.21,1393,1408.071908,0,0.62,0.1,0.33
2017,6,Bajra,630.2,27.67,14.17,1000,951.783245,0,0,0.03,0.22
2008,6,Jowar,683.2,29.0166,31.37778,803,814.3889245,1,0.51,0.63,0.16
2009,6,Jowar,683.2,30.33333,37.25,624,651.143736,1,1,0.84,0.1
2010,6,Jowar,630.2,29.45455,41.58333,642,617.0619984,0,0.67,0.99,0.11
2011,6,Jowar,630.2,28.81818,41.91667,758,861.359818,0,0.43,1,0.14
2012,6,Jowar,630.2,29.08333,38,1518,962.9882581,0,0.53,0.86,0.37
2013,6,Jowar,630.2,29,41.41,883,841.8127734,0,0.5,0.98,0.18
2014,6,Jowar,683.2,29.5,38.58,936,846.2432784,1,0.69,0.88,0.2
2015,6,Jowar,630.2,27.96,13.28,281,269.698944,0,0.11,0,0
2016,6,Jowar,630.2,29.33,16.21,788,808.2094129,0,0.62,0.1,0.15
2017,6,Jowar,630.2,27.67,14.17,1001,1021.622283,0,0,0.03,0.22
2008,6,Maize,683.2,29.0166,31.37778,1563,1643.971175,1,0.51,0.63,0.39
2009,6,Maize,683.2,30.33333,37.25,1747,1736.981465,1,1,0.84,0.44
2010,6,Maize,630.2,29.45455,41.58333,1836,2016.317207,0,0.67,0.99,0.47
2011,6,Maize,630.2,28.81818,41.91667,1688,1698.603471,0,0.43,1,0.42
2012,6,Maize,630.2,29.08333,38,1817,1779.922907,0,0.53,0.86,0.46
2013,6,Maize,630.2,29,41.41,1721,1682.111457,0,0.5,0.98,0.43
2014,6,Maize,683.2,29.5,38.58,2013,1854.397177,1,0.69,0.88,0.52
2015,6,Maize,630.2,27.96,13.28,1215,1522.486328,0,0.11,0,0.28
2016,6,Maize,630.2,29.33,16.21,1532,1647.782318,0,0.62,0.1,0.38
2017,6,Maize,630.2,27.67,14.17,2276,2207.380503,0,0,0.03,0.6
2008,6,Rice,683.2,29.0166,31.37778,1806,1830.322771,1,0.51,0.63,0.46
2009,6,Rice,683.2,30.33333,37.25,1514,1662.626311,1,1,0.84,0.37
2010,6,Rice,630.2,29.45455,41.58333,3038,2309.014256,0,0.67,0.99,0.83
2011,6,Rice,630.2,28.81818,41.91667,1885,1921.784737,0,0.43,1,0.48
2012,6,Rice,630.2,29.08333,38,1773,1783.687854,0,0.53,0.86,0.45
2013,6,Rice,630.2,29,41.41,2147,2126.555121,0,0.5,0.98,0.56
2014,6,Rice,683.2,29.5,38.58,2186,2297.577466,1,0.69,0.88,0.57
2015,6,Rice,630.2,27.96,13.28,2021,2012.048397,0,0.11,0,0.52
2016,6,Rice,630.2,29.33,16.21,2289,2176.00227,0,0.62,0.1,0.6
2017,6,Rice,630.2,27.67,14.17,2366,2260.816102,0,0,0.03,0.63
2008,6,Wheat,683.2,29.0166,31.37778,3609,3686.777563,1,0.51,0.63,1
2009,6,Wheat,683.2,30.33333,37.25,3295,3384.871262,1,1,0.84,0.91
2010,6,Wheat,630.2,29.45455,41.58333,2593,2739.700502,0,0.67,0.99,0.69
2011,6,Wheat,630.2,28.81818,41.91667,2904,3041.101279,0,0.43,1,0.79
2012,6,Wheat,630.2,29.08333,38,3398,3580.336296,0,0.53,0.86,0.94
2013,6,Wheat,630.2,29,41.41,3603,3631.357275,0,0.5,0.98,1
2014,6,Wheat,683.2,29.5,38.58,2054,2318.343945,1,0.69,0.88,0.53
2015,6,Wheat,630.2,27.96,13.28,3060,3155.689405,0,0.11,0,0.84
2016,6,Wheat,630.2,29.33,16.21,3599,3763.904701,0,0.62,0.1,1
2017,6,Wheat,630.2,27.67,14.17,3318,3426.403554,0,0,0.03,0.91
