Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,7,Bajra,243,29.57259,23.19667,0,505.1758118,0,0.59,0.64,0
2009,7,Bajra,243,30.66667,28.33333,0,-16.64969647,0,1,0.84,0
2010,7,Bajra,274,29.91667,31.41667,545,560.7538583,1,0.72,0.97,0.18
2011,7,Bajra,274,29.33333,32.25,970,950.7769156,1,0.5,1,0.32
2012,7,Bajra,274,29.66667,30.75,207,146.6818871,1,0.63,0.94,0.07
2013,7,Bajra,274,29.83,31.58,506,545.3906939,1,0.69,0.97,0.17
2014,7,Bajra,243,29.75,31.16,560,456.7026632,0,0.66,0.96,0.19
2015,7,Bajra,274,27.99,7.33,319,240.7021517,1,0,0,0.11
2016,7,Bajra,274,29.33,8.17,681,625.1480237,1,0.5,0.03,0.22
2017,7,Bajra,274,29.67,7.78,484,491.7425897,1,0.63,0.02,0.16
2008,7,Jowar,243,29.57259,23.19667,0,289.7208913,0,0.59,0.64,0
2009,7,Jowar,243,30.66667,28.33333,0,231.480384,0,1,0.84,0
2010,7,Jowar,274,29.91667,31.41667,700,736.8552815,1,0.72,0.97,0.23
2011,7,Jowar,274,29.33333,32.25,741,681.0246637,1,0.5,1,0.24
2012,7,Jowar,274,29.66667,30.75,617,611.1969588,1,0.63,0.94,0.2
2013,7,Jowar,274,29.83,31.58,613,586.5638449,1,0.69,0.97,0.2
2014,7,Jowar,243,29.75,31.16,765,647.3476742,0,0.66,0.96,0.25
2015,7,Jowar,274,27.99,7.33,545,595.0002414,1,0,0,0.18
2016,7,Jowar,274,29.33,8.17,610,596.1515779,1,0.5,0.03,0.2
2017,7,Jowar,274,29.67,7.78,583,610.9087859,1,0.63,0.02,0.19
2008,7,Maize,243,29.57259,23.19667,1714,1672.478026,0,0.59,0.64,0.57
2009,7,Maize,243,30.66667,28.33333,0,780.7514237,0,1,0.84,0
2010,7,Maize,274,29.91667,31.41667,1857,1283.567817,1,0.72,0.97,0.61
2011,7,Maize,274,29.33333,32.25,1556,1396.032077,1,0.5,1,0.51
2012,7,Maize,274,29.66667,30.75,1882,1718.771539,1,0.63,0.94,0.62
2013,7,Maize,274,29.83,31.58,0,267.021621,1,0.69,0.97,0
2014,7,Maize,243,29.75,31.16,0,410.3614097,0,0.66,0.96,0
2015,7,Maize,274,27.99,7.33,0,267.021621,1,0,0,0
2016,7,Maize,274,29.33,8.17,200,1400.36358,1,0.5,0.03,0.07
2017,7,Maize,274,29.67,7.78,0,524.746561,1,0.63,0.02,0
2008,7,Rice,243,29.57259,23.19667,1804,1890.11913,0,0.59,0.64,0.6
2009,7,Rice,243,30.66667,28.33333,1508,1731.656815,0,1,0.84,0.5
2010,7,Rice,274,29.91667,31.41667,3027,2519.086322,1,0.72,0.97,1
2011,7,Rice,274,29.33333,32.25,1882,1909.643307,1,0.5,1,0.62
2012,7,Rice,274,29.66667,30.75,1778,1763.258482,1,0.63,0.94,0.59
2013,7,Rice,274,29.83,31.58,2150,1836.408319,1,0.69,0.97,0.71
2014,7,Rice,243,29.75,31.16,2200,1823.840747,0,0.66,0.96,0.73
2015,7,Rice,274,27.99,7.33,2000,1944.231552,1,0,0,0.66
2016,7,Rice,274,29.33,8.17,2250,2173.804305,1,0.5,0.03,0.74
2017,7,Rice,274,29.67,7.78,0,-5.968879189,1,0.63,0.02,0
2008,7,Wheat,243,29.57259,23.19667,0,1503.200509,0,0.59,0.64,0
2009,7,Wheat,243,30.66667,28.33333,0,1572.794213,0,1,0.84,0
2010,7,Wheat,274,29.91667,31.41667,2950,3033.920255,1,0.72,0.97,0.97
2011,7,Wheat,274,29.33333,32.25,2493,2505.398302,1,0.5,1,0.82
2012,7,Wheat,274,29.66667,30.75,2432,2780.000446,1,0.63,0.94,0.8
2013,7,Wheat,274,29.83,31.58,2469,2432.407789,1,0.69,0.97,0.82
2014,7,Wheat,243,29.75,31.16,2014,2216.551821,0,0.66,0.96,0.67
2015,7,Wheat,274,27.99,7.33,2464,2529.073843,1,0,0,0.81
2016,7,Wheat,274,29.33,8.17,2497,2546.598059,1,0.5,0.03,0.82
2017,7,Wheat,274,29.67,7.78,2506,2638.298091,1,0.63,0.02,0.83
