Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,8,Bajra,773.4,29.11444,31.78259,833,777.2440527,0.46,0.44,0.63,0.08
2009,8,Bajra,773.4,31,40.08333,500,671.8934442,0.46,1,0.9,0
2010,8,Bajra,705.6,30.16667,43.16667,1110,1219.762444,0,0.75,1,0.15
2011,8,Bajra,705.6,28.83333,42.91667,1312,1075.366487,0,0.35,0.99,0.2
2012,8,Bajra,705.6,30,37.91667,1516,1350.844081,0,0.7,0.83,0.25
2013,8,Bajra,705.6,29.75,41.5,903,1076.921694,0,0.63,0.95,0.1
2014,8,Bajra,773.4,27.66,38,921,1117.044108,0.46,0,0.83,0.1
2015,8,Bajra,705.6,27.96,12.72,1093,1176.56898,0,0.09,0,0.15
2016,8,Bajra,705.6,28.08,16.68,1195,1151.541508,0,0.13,0.13,0.17
2017,8,Bajra,852.7,28.58,13.06,1706,1392.118242,1,0.28,0.01,0.3
2008,8,Jowar,773.4,29.11444,31.78259,1235,1196.183738,0.46,0.44,0.63,0.18
2009,8,Jowar,773.4,31,40.08333,1424,1192.079671,0.46,1,0.9,0.23
2010,8,Jowar,705.6,30.16667,43.16667,700,871.6494457,0,0.75,1,0.05
2011,8,Jowar,705.6,28.83333,42.91667,852,783.8217821,0,0.35,0.99,0.09
2012,8,Jowar,705.6,30,37.91667,1051,877.7955803,0,0.7,0.83,0.14
2013,8,Jowar,705.6,29.75,41.5,618,502.8345423,0,0.63,0.95,0.03
2014,8,Jowar,773.4,27.66,38,765,686.964221,0.46,0,0.83,0.07
2015,8,Jowar,705.6,27.96,12.72,546,616.2467972,0,0.09,0,0.01
2016,8,Jowar,705.6,28.08,16.68,605,672.8109139,0,0.13,0.13,0.03
2017,8,Jowar,852.7,28.58,13.06,586,634.3497203,1,0.28,0.01,0.02
2008,8,Maize,773.4,29.11444,31.78259,2250,2134.678284,0.46,0.44,0.63,0.43
2009,8,Maize,773.4,31,40.08333,1991,1885.664441,0.46,1,0.9,0.37
2010,8,Maize,705.6,30.16667,43.16667,2518,2302.226573,0,0.75,1,0.5
2011,8,Maize,705.6,28.83333,42.91667,2680,2321.87377,0,0.35,0.99,0.54
2012,8,Maize,705.6,30,37.91667,3046,2568.903041,0,0.7,0.83,0.63
2013,8,Maize,705.6,29.75,41.5,1999,1910.127719,0,0.63,0.95,0.37
2014,8,Maize,773.4,27.66,38,2674,2436.163391,0.46,0,0.83,0.54
2015,8,Maize,705.6,27.96,12.72,2907,1932.835126,0,0.09,0,0.6
2016,8,Maize,705.6,28.08,16.68,2881,2510.482433,0,0.13,0.13,0.59
2017,8,Maize,852.7,28.58,13.06,3455,2650.017212,1,0.28,0.01,0.73
2008,8,Rice,773.4,29.11444,31.78259,1850,1782.955586,0.46,0.44,0.63,0.33
2009,8,Rice,773.4,31,40.08333,868,1176.277714,0.46,1,0.9,0.09
2010,8,Rice,705.6,30.16667,43.16667,2815,2963.725537,0,0.75,1,0.57
2011,8,Rice,705.6,28.83333,42.91667,1631,1872.905064,0,0.35,0.99,0.28
2012,8,Rice,705.6,30,37.91667,1977,2138.806144,0,0.7,0.83,0.37
2013,8,Rice,705.6,29.75,41.5,2442,2336.756355,0,0.63,0.95,0.48
2014,8,Rice,773.4,27.66,38,2221,2182.273753,0.46,0,0.83,0.43
2015,8,Rice,705.6,27.96,12.72,2228,2216.283671,0,0.09,0,0.43
2016,8,Rice,705.6,28.08,16.68,2673,2675.879117,0,0.13,0.13,0.54
2017,8,Rice,852.7,28.58,13.06,2832,3057.227572,1,0.28,0.01,0.58
2008,8,Wheat,773.4,29.11444,31.78259,2783,2618.337414,0.46,0.44,0.63,0.57
2009,8,Wheat,773.4,31,40.08333,3337,3325.762913,0.46,1,0.9,0.7
2010,8,Wheat,705.6,30.16667,43.16667,3800,3808.726625,0,0.75,1,0.82
2011,8,Wheat,705.6,28.83333,42.91667,4537,4436.479092,0,0.35,0.99,1
2012,8,Wheat,705.6,30,37.91667,4400,4322.275434,0,0.7,0.83,0.97
2013,8,Wheat,705.6,29.75,41.5,3793,3962.153147,0,0.63,0.95,0.82
2014,8,Wheat,773.4,27.66,38,2132,3487.717604,0.46,0,0.83,0.4
2015,8,Wheat,705.6,27.96,12.72,4171,4011.557837,0,0.09,0,0.91
2016,8,Wheat,705.6,28.08,16.68,4351,4207.614613,0,0.13,0.13,0.95
2017,8,Wheat,852.7,28.58,13.06,4126,4104.994112,1,0.28,0.01,0.9
