Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,9,Bajra,841.5,29.0166,31.37778,825,901.1535849,1,0.51,0.63,0.11
2009,9,Bajra,841.5,30.33333,37.25,393,641.0140151,1,1,0.84,0
2010,9,Bajra,765.3,29.45455,41.58333,1133,992.8321474,0,0.67,0.99,0.19
2011,9,Bajra,765.3,28.81818,41.91667,1296,1050.271085,0,0.43,1,0.24
2012,9,Bajra,765.3,29.08333,38,952,921.0839654,0,0.53,0.86,0.15
2013,9,Bajra,765.3,29,41.41,900,889.6630397,0,0.5,0.98,0.13
2014,9,Bajra,841.5,29.5,38.58,1077,947.4927846,1,0.69,0.88,0.18
2015,9,Bajra,765.3,27.96,13.28,793,851.9110319,0,0.11,0,0.11
2016,9,Bajra,765.3,29.33,16.21,1000,1112.238955,0,0.62,0.1,0.16
2017,9,Bajra,765.3,27.67,14.17,871,948.0374856,0,0,0.03,0.13
2008,9,Jowar,841.5,29.0166,31.37778,1609,1357.501951,1,0.51,0.63,0.32
2009,9,Jowar,841.5,30.33333,37.25,697,635.2816906,1,1,0.84,0.08
2010,9,Jowar,765.3,29.45455,41.58333,649,774.8601997,0,0.67,0.99,0.07
2011,9,Jowar,765.3,28.81818,41.91667,1025,1067.626077,0,0.43,1,0.17
2012,9,Jowar,765.3,29.08333,38,1061,1068.327914,0,0.53,0.86,0.18
2013,9,Jowar,765.3,29,41.41,961,1045.694248,0,0.5,0.98,0.15
2014,9,Jowar,841.5,29.5,38.58,1315,1080.745278,1,0.69,0.88,0.24
2015,9,Jowar,765.3,27.96,13.28,1142,1126.684202,0,0.11,0,0.2
2016,9,Jowar,765.3,29.33,16.21,909,1061.003469,0,0.62,0.1,0.14
2017,9,Jowar,765.3,27.67,14.17,1083,1111.172423,0,0,0.03,0.18
2008,9,Maize,841.5,29.0166,31.37778,2802,2295.151748,1,0.51,0.63,0.63
2009,9,Maize,841.5,30.33333,37.25,993,1272.76535,1,1,0.84,0.16
2010,9,Maize,765.3,29.45455,41.58333,2209,2206.94033,0,0.67,0.99,0.48
2011,9,Maize,765.3,28.81818,41.91667,2453,2217.743305,0,0.43,1,0.54
2012,9,Maize,765.3,29.08333,38,2603,2367.002296,0,0.53,0.86,0.58
2013,9,Maize,765.3,29,41.41,2253,2037.200905,0,0.5,0.98,0.49
2014,9,Maize,841.5,29.5,38.58,2741,2067.384157,1,0.69,0.88,0.62
2015,9,Maize,765.3,27.96,13.28,2172,2630.407872,0,0.11,0,0.47
2016,9,Maize,765.3,29.33,16.21,1455,1502.054725,0,0.62,0.1,0.28
2017,9,Maize,765.3,27.67,14.17,3050,2545.928082,0,0,0.03,0.7
2008,9,Rice,841.5,29.0166,31.37778,1808,1852.267204,1,0.51,0.63,0.37
2009,9,Rice,841.5,30.33333,37.25,1515,1890.80131,1,1,0.84,0.3
2010,9,Rice,765.3,29.45455,41.58333,3037,2262.638356,0,0.67,0.99,0.7
2011,9,Rice,765.3,28.81818,41.91667,1887,2140.25931,0,0.43,1,0.39
2012,9,Rice,765.3,29.08333,38,1770,1749.571159,0,0.53,0.86,0.36
2013,9,Rice,765.3,29,41.41,2146,2116.428436,0,0.5,0.98,0.46
2014,9,Rice,841.5,29.5,38.58,2185,2107.932209,1,0.69,0.88,0.47
2015,9,Rice,765.3,27.96,13.28,2023,2069.129559,0,0.11,0,0.43
2016,9,Rice,765.3,29.33,16.21,1369,1705.853753,0,0.62,0.1,0.26
2017,9,Rice,765.3,27.67,14.17,2301,2212.327063,0,0,0.03,0.5
2008,9,Wheat,841.5,29.0166,31.37778,2234,1902.829177,1,0.51,0.63,0.48
2009,9,Wheat,841.5,30.33333,37.25,2602,2041.361227,1,1,0.84,0.58
2010,9,Wheat,765.3,29.45455,41.58333,4041,4108.550049,0,0.67,0.99,0.96
2011,9,Wheat,765.3,28.81818,41.91667,3726,3805.276719,0,0.43,1,0.88
2012,9,Wheat,765.3,29.08333,38,4193,3926.322964,0,0.53,0.86,1
2013,9,Wheat,765.3,29,41.41,4028,3997.231279,0,0.5,0.98,0.96
2014,9,Wheat,841.5,29.5,38.58,2849,3592.593905,1,0.69,0.88,0.65
2015,9,Wheat,765.3,27.96,13.28,3481,3620.23886,0,0.11,0,0.81
2016,9,Wheat,765.3,29.33,16.21,4035,4014.060056,0,0.62,0.1,0.96
2017,9,Wheat,765.3,27.67,14.17,4076,4054.475786,0,0,0.03,0.97
