Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,11,Bajra,561,28.96222,31.99185,1765,1768.038474,0,0.47,0.69,0.41
2009,11,Bajra,561,30.25,38.08333,1333,1465.63828,0,1,0.88,0.31
2010,11,Bajra,674.8,29.75,41.75,1429,1611.407478,1,0.79,1,0.33
2011,11,Bajra,674.8,28.91667,40.08333,1644,1774.535205,1,0.45,0.95,0.38
2012,11,Bajra,674.8,29.08333,35.41667,1861,1922.855016,1,0.52,0.8,0.43
2013,11,Bajra,674.8,29.08,38.58,1735,1823.58016,1,0.52,0.9,0.4
2014,11,Bajra,561,29.58,35.58,1818,1807.633987,0,0.72,0.8,0.42
2015,11,Bajra,674.8,28.17,33.83333,1148,1352.609921,1,0.14,0.75,0.27
2016,11,Bajra,674.8,27.83,14.28,1624,1780.145562,1,0,0.13,0.38
2017,11,Bajra,674.8,28,10.32,1381,1553.357903,1,0.07,0,0.32
2008,11,Jowar,561,28.96222,31.99185,900,851.3253904,0,0.47,0.69,0.21
2009,11,Jowar,561,30.25,38.08333,539,668.2814154,0,1,0.88,0.13
2010,11,Jowar,674.8,29.75,41.75,421,805.1954034,1,0.79,1,0.1
2011,11,Jowar,674.8,28.91667,40.08333,770,851.8466263,1,0.45,0.95,0.18
2012,11,Jowar,674.8,29.08333,35.41667,925,841.6537113,1,0.52,0.8,0.21
2013,11,Jowar,674.8,29.08,38.58,778,857.6516432,1,0.52,0.9,0.18
2014,11,Jowar,561,29.58,35.58,1166,970.882404,0,0.72,0.8,0.27
2015,11,Jowar,674.8,28.17,33.83333,716,805.0456586,1,0.14,0.75,0.17
2016,11,Jowar,674.8,27.83,14.28,788,819.4267353,1,0,0.13,0.18
2017,11,Jowar,674.8,28,10.32,765,703.8745676,1,0.07,0,0.18
2008,11,Maize,561,28.96222,31.99185,1249,1594.42875,0,0.47,0.69,0.29
2009,11,Maize,561,30.25,38.08333,1111,1417.081067,0,1,0.88,0.26
2010,11,Maize,674.8,29.75,41.75,1796,1283.528893,1,0.79,1,0.42
2011,11,Maize,674.8,28.91667,40.08333,1582,1631.450132,1,0.45,0.95,0.37
2012,11,Maize,674.8,29.08333,35.41667,1889,1715.7199,1,0.52,0.8,0.44
2013,11,Maize,674.8,29.08,38.58,1598,1624.821401,1,0.52,0.9,0.37
2014,11,Maize,561,29.58,35.58,1741,1644.451256,0,0.72,0.8,0.4
2015,11,Maize,674.8,28.17,33.83333,1318,1250.494333,1,0.14,0.75,0.31
2016,11,Maize,674.8,27.83,14.28,1496,1569.331473,1,0,0.13,0.35
2017,11,Maize,674.8,28,10.32,2034,1743.855492,1,0.07,0,0.47
2008,11,Rice,561,28.96222,31.99185,0,-5.968879189,0,0.47,0.69,0
2009,11,Rice,561,30.25,38.08333,0,-5.968879189,0,1,0.88,0
2010,11,Rice,674.8,29.75,41.75,0,41.81968432,1,0.79,1,0
2011,11,Rice,674.8,28.91667,40.08333,0,-5.968879189,1,0.45,0.95,0
2012,11,Rice,674.8,29.08333,35.41667,0,-5.968879189,1,0.52,0.8,0
2013,11,Rice,674.8,29.08,38.58,0,-5.968879189,1,0.52,0.9,0
2014,11,Rice,561,29.58,35.58,0,-5.968879189,0,0.72,0.8,0
2015,11,Rice,674.8,28.17,33.83333,0,-5.968879189,1,0.14,0.75,0
2016,11,Rice,674.8,27.83,14.28,0,-5.968879189,1,0,0.13,0
2017,11,Rice,674.8,28,10.32,0,-5.968879189,1,0.07,0,0
2008,11,Wheat,561,28.96222,31.99185,3177,3246.271648,0,0.47,0.69,0.74
2009,11,Wheat,561,30.25,38.08333,3475,3613.118972,0,1,0.88,0.81
2010,11,Wheat,674.8,29.75,41.75,3548,3601.7157,1,0.79,1,0.82
2011,11,Wheat,674.8,28.91667,40.08333,3770,3693.458809,1,0.45,0.95,0.88
2012,11,Wheat,674.8,29.08333,35.41667,3711,3700.51057,1,0.52,0.8,0.86
2013,11,Wheat,674.8,29.08,38.58,3714,3656.869184,1,0.52,0.9,0.86
2014,11,Wheat,561,29.58,35.58,3600,3684.971378,0,0.72,0.8,0.84
2015,11,Wheat,674.8,28.17,33.83333,3814,3772.618666,1,0.14,0.75,0.89
2016,11,Wheat,674.8,27.83,14.28,4085,3898.23074,1,0,0.13,0.95
2017,11,Wheat,674.8,28,10.32,4308,4253.985337,1,0.07,0,1
