Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,12,Bajra,744.5,28.98815,34.87037,1741,1869.017027,1,0.48,0.64,0.38
2009,12,Bajra,744.5,30.25,44.08333,1854,1949.749528,1,1,0.9,0.41
2010,12,Bajra,722.1,28.83333,47.75,1799,1905.937967,0,0.41,1,0.39
2011,12,Bajra,722.1,27.83333,46.41667,2231,2131.136445,0,0,0.96,0.49
2012,12,Bajra,722.1,29.66667,38.5,2000,2018.260937,0,0.76,0.74,0.44
2013,12,Bajra,722.1,29.41,41.42,1952,2017.816394,0,0.65,0.82,0.43
2014,12,Bajra,744.5,29.91,35.75,2129,2101.591233,1,0.86,0.66,0.47
2015,12,Bajra,722.1,27.99,32.58333,2095,2024.704736,0,0.06,0.57,0.46
2016,12,Bajra,722.1,28.33,15.25,2010,2042.173473,0,0.21,0.09,0.44
2017,12,Bajra,722.1,28.67,12.08,2363,2180.53573,0,0.35,0,0.52
2008,12,Jowar,744.5,28.98815,34.87037,1626,1059.546286,1,0.48,0.64,0.36
2009,12,Jowar,744.5,30.25,44.08333,536,494.4084347,1,1,0.9,0.12
2010,12,Jowar,722.1,28.83333,47.75,690,648.9643887,0,0.41,1,0.15
2011,12,Jowar,722.1,27.83333,46.41667,737,658.7428666,0,0,0.96,0.16
2012,12,Jowar,722.1,29.66667,38.5,615,626.5436022,0,0.76,0.74,0.13
2013,12,Jowar,722.1,29.41,41.42,612,610.230351,0,0.65,0.82,0.13
2014,12,Jowar,744.5,29.91,35.75,762,694.708043,1,0.86,0.66,0.17
2015,12,Jowar,722.1,27.99,32.58333,548,574.6008715,0,0.06,0.57,0.12
2016,12,Jowar,722.1,28.33,15.25,603,611.0509655,0,0.21,0.09,0.13
2017,12,Jowar,722.1,28.67,12.08,584,597.8267866,0,0.35,0,0.13
2008,12,Maize,744.5,28.98815,34.87037,1762,1557.957366,1,0.48,0.64,0.39
2009,12,Maize,744.5,30.25,44.08333,1047,1378.574974,1,1,0.9,0.23
2010,12,Maize,722.1,28.83333,47.75,1800,1691.754555,0,0.41,1,0.39
2011,12,Maize,722.1,27.83333,46.41667,1571,1250.34434,0,0,0.96,0.34
2012,12,Maize,722.1,29.66667,38.5,2000,1168.707199,0,0.76,0.74,0.44
2013,12,Maize,722.1,29.41,41.42,0,338.6915153,0,0.65,0.82,0
2014,12,Maize,744.5,29.91,35.75,1750,1746.624021,1,0.86,0.66,0.38
2015,12,Maize,722.1,27.99,32.58333,1500,1551.780464,0,0.06,0.57,0.33
2016,12,Maize,722.1,28.33,15.25,0,410.3614097,0,0.21,0.09,0
2017,12,Maize,722.1,28.67,12.08,0,650.4154796,0,0.35,0,0
2008,12,Rice,744.5,28.98815,34.87037,1807,1854.235817,1,0.48,0.64,0.4
2009,12,Rice,744.5,30.25,44.08333,1515,1642.419496,1,1,0.9,0.33
2010,12,Rice,722.1,28.83333,47.75,3038,2703.334073,0,0.41,1,0.67
2011,12,Rice,722.1,27.83333,46.41667,1886,1912.377989,0,0,0.96,0.41
2012,12,Rice,722.1,29.66667,38.5,1770,1775.296917,0,0.76,0.74,0.39
2013,12,Rice,722.1,29.41,41.42,2147,2115.180012,0,0.65,0.82,0.47
2014,12,Rice,744.5,29.91,35.75,2187,2121.502421,1,0.86,0.66,0.48
2015,12,Rice,722.1,27.99,32.58333,2022,2002.011693,0,0.06,0.57,0.44
2016,12,Rice,722.1,28.33,15.25,2288,2267.291845,0,0.21,0.09,0.5
2017,12,Rice,722.1,28.67,12.08,2366,2184.945559,0,0.35,0,0.52
2008,12,Wheat,744.5,28.98815,34.87037,3636,3504.068783,1,0.48,0.64,0.8
2009,12,Wheat,744.5,30.25,44.08333,3906,3619.505603,1,1,0.9,0.86
2010,12,Wheat,722.1,28.83333,47.75,3487,3372.456325,0,0.41,1,0.76
2011,12,Wheat,722.1,27.83333,46.41667,4211,4045.585234,0,0,0.96,0.92
2012,12,Wheat,722.1,29.66667,38.5,4096,3969.273576,0,0.76,0.74,0.9
2013,12,Wheat,722.1,29.41,41.42,3954,3865.731739,0,0.65,0.82,0.87
2014,12,Wheat,744.5,29.91,35.75,3414,3429.478887,1,0.86,0.66,0.75
2015,12,Wheat,722.1,27.99,32.58333,3408,3429.684493,0,0.06,0.57,0.75
2016,12,Wheat,722.1,28.33,15.25,4561,4134.163814,0,0.21,0.09,1
2017,12,Wheat,722.1,28.67,12.08,4286,4091.394435,0,0.35,0,0.94
