Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,13,Bajra,728.9,29.14943,32.74852,824,856.5439684,0.25,0.51,0.64,0.31
2009,13,Bajra,728.9,30.33333,42.75,393,657.4362364,0.25,1,0.91,0.11
2010,13,Bajra,677.8,30,45.41667,1113,957.1919656,0,0.86,0.98,0.45
2011,13,Bajra,677.8,28.81818,46.08333,1290,1118.364437,0,0.37,1,0.53
2012,13,Bajra,677.8,29.08333,43.66667,965,961.6882739,0,0.48,0.93,0.38
2013,13,Bajra,677.8,28.91,45.91,930,923.9994529,0,0.41,1,0.36
2014,13,Bajra,728.9,30,41,1087,970.5885961,0.25,0.86,0.86,0.43
2015,13,Bajra,677.8,27.95,9.22,795,867.9771929,0,0.01,0,0.3
2016,13,Bajra,677.8,29.33,11.44,1000,1006.329844,0,0.58,0.06,0.39
2017,13,Bajra,883,27.92,9.25,895,785.0553183,1,0,0,0.35
2008,13,Jowar,728.9,29.14943,32.74852,578,637.3815543,0.25,0.51,0.64,0.2
2009,13,Jowar,728.9,30.33333,42.75,146,419.840236,0.25,1,0.91,0
2010,13,Jowar,677.8,30,45.41667,700,647.4786067,0,0.86,0.98,0.26
2011,13,Jowar,677.8,28.81818,46.08333,741,686.6233093,0,0.37,1,0.27
2012,13,Jowar,677.8,29.08333,43.66667,619,591.0150209,0,0.48,0.93,0.22
2013,13,Jowar,677.8,28.91,45.91,616,654.8479681,0,0.41,1,0.22
2014,13,Jowar,728.9,30,41,764,700.6615948,0.25,0.86,0.86,0.28
2015,13,Jowar,677.8,27.95,9.22,547,597.7525918,0,0.01,0,0.18
2016,13,Jowar,677.8,29.33,11.44,605,615.765301,0,0.58,0.06,0.21
2017,13,Jowar,883,27.92,9.25,583,493.3979714,1,0,0,0.2
2008,13,Maize,728.9,29.14943,32.74852,878,1090.97641,0.25,0.51,0.64,0.34
2009,13,Maize,728.9,30.33333,42.75,633,986.2838374,0.25,1,0.91,0.22
2010,13,Maize,677.8,30,45.41667,1465,1573.900166,0,0.86,0.98,0.61
2011,13,Maize,677.8,28.81818,46.08333,483,935.047276,0,0.37,1,0.16
2012,13,Maize,677.8,29.08333,43.66667,867,1023.049637,0,0.48,0.93,0.33
2013,13,Maize,677.8,28.91,45.91,938,1008.58523,0,0.41,1,0.36
2014,13,Maize,728.9,30,41,1242,1315.809467,0.25,0.86,0.86,0.5
2015,13,Maize,677.8,27.95,9.22,869,1315.859147,0,0.01,0,0.33
2016,13,Maize,677.8,29.33,11.44,1374,1517.906985,0,0.58,0.06,0.57
2017,13,Maize,883,27.92,9.25,1144,1245.346985,1,0,0,0.46
2008,13,Rice,728.9,29.14943,32.74852,1309,1357.287099,0.25,0.51,0.64,0.54
2009,13,Rice,728.9,30.33333,42.75,362,1018.914497,0.25,1,0.91,0.1
2010,13,Rice,677.8,30,45.41667,990,1110.822205,0,0.86,0.98,0.39
2011,13,Rice,677.8,28.81818,46.08333,777,865.6082206,0,0.37,1,0.29
2012,13,Rice,677.8,29.08333,43.66667,945,1226.297375,0,0.48,0.93,0.37
2013,13,Rice,677.8,28.91,45.91,1096,1095.397413,0,0.41,1,0.44
2014,13,Rice,728.9,30,41,697,841.769154,0.25,0.86,0.86,0.25
2015,13,Rice,677.8,27.95,9.22,674,806.7383686,0,0.01,0,0.24
2016,13,Rice,677.8,29.33,11.44,1269,1229.654,0,0.58,0.06,0.52
2017,13,Rice,883,27.92,9.25,1149,1095.099929,1,0,0,0.46
2008,13,Wheat,728.9,29.14943,32.74852,1341,1415.810542,0.25,0.51,0.64,0.55
2009,13,Wheat,728.9,30.33333,42.75,1779,1853.663428,0.25,1,0.91,0.75
2010,13,Wheat,677.8,30,45.41667,1556,1803.972218,0,0.86,0.98,0.65
2011,13,Wheat,677.8,28.81818,46.08333,2014,1963.183546,0,0.37,1,0.86
2012,13,Wheat,677.8,29.08333,43.66667,1717,1831.033438,0,0.48,0.93,0.72
2013,13,Wheat,677.8,28.91,45.91,1906,1996.890593,0,0.41,1,0.81
2014,13,Wheat,728.9,30,41,1878,1870.689643,0.25,0.86,0.86,0.8
2015,13,Wheat,677.8,27.95,9.22,1804,1869.635988,0,0.01,0,0.76
2016,13,Wheat,677.8,29.33,11.44,2081,2102.624831,0,0.58,0.06,0.89
2017,13,Wheat,883,27.92,9.25,2317,2493.246738,1,0,0,1
