Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,14,Bajra,226.4,30.11259,25.21852,407,410.938612,0,0.6,0.59,0.09
2009,14,Bajra,226.4,31.58333,31.83333,35,217.948856,0,1,0.79,0.01
2010,14,Bajra,252.9,30.83333,36.5,1110,1183.804754,0.56,0.79,0.94,0.25
2011,14,Bajra,252.9,29.75,38.58333,1831,1550.097319,0.56,0.5,1,0.41
2012,14,Bajra,252.9,30.91667,34.25,1621,1152.855713,0.56,0.82,0.87,0.36
2013,14,Bajra,252.9,30.83,33.66,1416,1174.201063,0.56,0.79,0.85,0.32
2014,14,Bajra,273.5,30.66,32.33,1248,1103.152021,1,0.75,0.81,0.28
2015,14,Bajra,252.9,27.94,6.32,1183,993.3595298,0.56,0,0.01,0.27
2016,14,Bajra,252.9,29.33,7.57,1194,1309.13627,0.56,0.38,0.05,0.27
2017,14,Bajra,252.9,29.17,5.92,1455,1346.276613,0.56,0.34,0,0.33
2008,14,Jowar,226.4,30.11259,25.21852,440,382.7262999,0,0.6,0.59,0.1
2009,14,Jowar,226.4,31.58333,31.83333,6,6.919001549,0,1,0.79,0
2010,14,Jowar,252.9,30.83333,36.5,0,230.3805007,0.56,0.79,0.94,0
2011,14,Jowar,252.9,29.75,38.58333,750,442.3174905,0.56,0.5,1,0.17
2012,14,Jowar,252.9,30.91667,34.25,623,589.7286034,0.56,0.82,0.87,0.14
2013,14,Jowar,252.9,30.83,33.66,618,627.6486129,0.56,0.79,0.85,0.14
2014,14,Jowar,273.5,30.66,32.33,759,497.2262447,1,0.75,0.81,0.17
2015,14,Jowar,252.9,27.94,6.32,533,474.1515332,0.56,0,0.01,0.12
2016,14,Jowar,252.9,29.33,7.57,603,631.3316037,0.56,0.38,0.05,0.14
2017,14,Jowar,252.9,29.17,5.92,583,504.5434168,0.56,0.34,0,0.13
2008,14,Maize,226.4,30.11259,25.21852,1730,1659.460974,0,0.6,0.59,0.39
2009,14,Maize,226.4,31.58333,31.83333,1059,1379.957193,0,1,0.79,0.24
2010,14,Maize,252.9,30.83333,36.5,1813,1635.079748,0.56,0.79,0.94,0.41
2011,14,Maize,252.9,29.75,38.58333,1600,1606.379514,0.56,0.5,1,0.36
2012,14,Maize,252.9,30.91667,34.25,1870,1692.094671,0.56,0.82,0.87,0.42
2013,14,Maize,252.9,30.83,33.66,1589,1624.738796,0.56,0.79,0.85,0.36
2014,14,Maize,273.5,30.66,32.33,1735,1627.361105,1,0.75,0.81,0.39
2015,14,Maize,252.9,27.94,6.32,1318,1488.747186,0.56,0,0.01,0.3
2016,14,Maize,252.9,29.33,7.57,1500,1576.151595,0.56,0.38,0.05,0.34
2017,14,Maize,252.9,29.17,5.92,2037,1799.618204,0.56,0.34,0,0.46
2008,14,Rice,226.4,30.11259,25.21852,2514,2908.704878,0,0.6,0.59,0.57
2009,14,Rice,226.4,31.58333,31.83333,2676,2837.16306,0,1,0.79,0.6
2010,14,Rice,252.9,30.83333,36.5,3746,3376.209832,0.56,0.79,0.94,0.84
2011,14,Rice,252.9,29.75,38.58333,3507,3269.027567,0.56,0.5,1,0.79
2012,14,Rice,252.9,30.91667,34.25,2969,2929.805189,0.56,0.82,0.87,0.67
2013,14,Rice,252.9,30.83,33.66,2683,2809.037411,0.56,0.79,0.85,0.6
2014,14,Rice,273.5,30.66,32.33,3274,3128.978255,1,0.75,0.81,0.74
2015,14,Rice,252.9,27.94,6.32,3126,2070.222721,0.56,0,0.01,0.7
2016,14,Rice,252.9,29.33,7.57,2841,2253.072042,0.56,0.38,0.05,0.64
2017,14,Rice,252.9,29.17,5.92,2759,2980.962907,0.56,0.34,0,0.62
2008,14,Wheat,226.4,30.11259,25.21852,1968,1903.297685,0,0.6,0.59,0.44
2009,14,Wheat,226.4,31.58333,31.83333,2499,2357.053859,0,1,0.79,0.56
2010,14,Wheat,252.9,30.83333,36.5,4445,4178.369081,0.56,0.79,0.94,1
2011,14,Wheat,252.9,29.75,38.58333,3962,3944.504265,0.56,0.5,1,0.89
2012,14,Wheat,252.9,30.91667,34.25,3855,3847.708345,0.56,0.82,0.87,0.87
2013,14,Wheat,252.9,30.83,33.66,4169,4014.994956,0.56,0.79,0.85,0.94
2014,14,Wheat,273.5,30.66,32.33,3651,3769.633064,1,0.75,0.81,0.82
2015,14,Wheat,252.9,27.94,6.32,3779,3979.946525,0.56,0,0.01,0.85
2016,14,Wheat,252.9,29.33,7.57,3964,4015.696104,0.56,0.38,0.05,0.89
2017,14,Wheat,252.9,29.17,5.92,4041,3856.890068,0.56,0.34,0,0.91
