Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,15,Bajra,273.5,30.11259,25.21852,130,81.47132419,0,0.6,0.59,0.02
2009,15,Bajra,273.5,31.58333,31.83333,19,30.89105907,0,1,0.79,0
2010,15,Bajra,301.6,30.83333,36.5,871,883.1512091,0.1,0.79,0.94,0.15
2011,15,Bajra,301.6,29.75,38.58333,1383,1416.967397,0.1,0.5,1,0.23
2012,15,Bajra,301.6,30.91667,34.25,1627,1214.084397,0.1,0.82,0.87,0.27
2013,15,Bajra,301.6,30.83,33.66,1026,973.4672047,0.1,0.79,0.85,0.17
2014,15,Bajra,563.8,30.66,32.33,1306,1157.673629,1,0.75,0.81,0.22
2015,15,Bajra,301.6,27.94,6.32,794,816.689755,0.1,0,0.01,0.13
2016,15,Bajra,301.6,29.33,7.57,442,671.2192094,0.1,0.38,0.05,0.07
2017,15,Bajra,301.6,29.17,5.92,512,789.4384885,0.1,0.34,0,0.09
2008,15,Jowar,273.5,30.11259,25.21852,167,727.609725,0,0.6,0.59,0.03
2009,15,Jowar,273.5,31.58333,31.83333,0,114.2548499,0,1,0.79,0
2010,15,Jowar,301.6,30.83333,36.5,0,286.6016321,0.1,0.79,0.94,0
2011,15,Jowar,301.6,29.75,38.58333,700,658.7719012,0.1,0.5,1,0.12
2012,15,Jowar,301.6,30.91667,34.25,623,547.9703295,0.1,0.82,0.87,0.1
2013,15,Jowar,301.6,30.83,33.66,612,676.5094321,0.1,0.79,0.85,0.1
2014,15,Jowar,563.8,30.66,32.33,765,794.5019117,1,0.75,0.81,0.13
2015,15,Jowar,301.6,27.94,6.32,548,653.5742107,0.1,0,0.01,0.09
2016,15,Jowar,301.6,29.33,7.57,619,571.2227747,0.1,0.38,0.05,0.1
2017,15,Jowar,301.6,29.17,5.92,584,509.1264228,0.1,0.34,0,0.1
2008,15,Maize,273.5,30.11259,25.21852,1778,1537.341139,0,0.6,0.59,0.3
2009,15,Maize,273.5,31.58333,31.83333,1000,1345.491436,0,1,0.79,0.17
2010,15,Maize,301.6,30.83333,36.5,1667,1664.175106,0.1,0.79,0.94,0.28
2011,15,Maize,301.6,29.75,38.58333,0,267.021621,0.1,0.5,1,0
2012,15,Maize,301.6,30.91667,34.25,0,482.031304,0.1,0.82,0.87,0
2013,15,Maize,301.6,30.83,33.66,1625,1687.746978,0.1,0.79,0.85,0.27
2014,15,Maize,563.8,30.66,32.33,1667,1457.754066,1,0.75,0.81,0.28
2015,15,Maize,301.6,27.94,6.32,1333,1497.677084,0.1,0,0.01,0.22
2016,15,Maize,301.6,29.33,7.57,1500,1587.890275,0.1,0.38,0.05,0.25
2017,15,Maize,301.6,29.17,5.92,2056,1598.069448,0.1,0.34,0,0.35
2008,15,Rice,273.5,30.11259,25.21852,3651,3390.732101,0,0.6,0.59,0.61
2009,15,Rice,273.5,31.58333,31.83333,3425,3540.993308,0,1,0.79,0.58
2010,15,Rice,301.6,30.83333,36.5,5947,4826.688084,0.1,0.79,0.94,1
2011,15,Rice,301.6,29.75,38.58333,3025,3119.893223,0.1,0.5,1,0.51
2012,15,Rice,301.6,30.91667,34.25,2667,3105.164997,0.1,0.82,0.87,0.45
2013,15,Rice,301.6,30.83,33.66,4195,3674.192951,0.1,0.79,0.85,0.71
2014,15,Rice,563.8,30.66,32.33,3624,3417.503322,1,0.75,0.81,0.61
2015,15,Rice,301.6,27.94,6.32,2810,2721.75929,0.1,0,0.01,0.47
2016,15,Rice,301.6,29.33,7.57,2936,2876.724678,0.1,0.38,0.05,0.49
2017,15,Rice,301.6,29.17,5.92,3103,3015.475456,0.1,0.34,0,0.52
2008,15,Wheat,273.5,30.11259,25.21852,871,1258.065885,0,0.6,0.59,0.15
2009,15,Wheat,273.5,31.58333,31.83333,1522,1451.975026,0,1,0.79,0.26
2010,15,Wheat,301.6,30.83333,36.5,3822,3767.977654,0.1,0.79,0.94,0.64
2011,15,Wheat,301.6,29.75,38.58333,3616,3684.770393,0.1,0.5,1,0.61
2012,15,Wheat,301.6,30.91667,34.25,3777,3724.953727,0.1,0.82,0.87,0.64
2013,15,Wheat,301.6,30.83,33.66,3574,3667.046979,0.1,0.79,0.85,0.6
2014,15,Wheat,563.8,30.66,32.33,3477,3622.531383,1,0.75,0.81,0.58
2015,15,Wheat,301.6,27.94,6.32,3996,3984.533845,0.1,0,0.01,0.67
2016,15,Wheat,301.6,29.33,7.57,4034,3974.691529,0.1,0.38,0.05,0.68
2017,15,Wheat,301.6,29.17,5.92,4414,4181.283668,0.1,0.34,0,0.74
