Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,17,Bajra,185.5,29.57259,23.19667,1612,1450.547539,0.02,0.59,0.64,0.49
2009,17,Bajra,185.5,30.66667,28.33333,450,510.7387391,0.02,1,0.84,0.14
2010,17,Bajra,181.2,29.91667,31.41667,475,428.7149502,0,0.72,0.97,0.14
2011,17,Bajra,181.2,29.33333,32.25,512,497.7655364,0,0.5,1,0.16
2012,17,Bajra,181.2,29.66667,30.75,231,313.437931,0,0.63,0.94,0.07
2013,17,Bajra,181.2,29.83,31.58,98,44.24343183,0,0.69,0.97,0.03
2014,17,Bajra,370,29.75,31.16,70,34.98064689,1,0.66,0.96,0.02
2015,17,Bajra,181.2,27.99,7.33,283,134.0291112,0,0,0,0.09
2016,17,Bajra,181.2,29.33,8.17,88,35.00430837,0,0.5,0.03,0.03
2017,17,Bajra,181.2,29.67,7.78,131,59.81476046,0,0.63,0.02,0.04
2008,17,Jowar,185.5,29.57259,23.19667,0,283.7868213,0.02,0.59,0.64,0
2009,17,Jowar,185.5,30.66667,28.33333,146,212.3980597,0.02,1,0.84,0.04
2010,17,Jowar,181.2,29.91667,31.41667,710,635.0418519,0,0.72,0.97,0.22
2011,17,Jowar,181.2,29.33333,32.25,637,599.4014807,0,0.5,1,0.19
2012,17,Jowar,181.2,29.66667,30.75,141,83.07538082,0,0.63,0.94,0.04
2013,17,Jowar,181.2,29.83,31.58,89,239.7733434,0,0.69,0.97,0.03
2014,17,Jowar,370,29.75,31.16,61,415.2011231,1,0.66,0.96,0.02
2015,17,Jowar,181.2,27.99,7.33,517,422.9987711,0,0,0,0.16
2016,17,Jowar,181.2,29.33,8.17,470,448.2000792,0,0.5,0.03,0.14
2017,17,Jowar,181.2,29.67,7.78,181,199.3296625,0,0.63,0.02,0.06
2008,17,Maize,185.5,29.57259,23.19667,0,338.6915153,0.02,0.59,0.64,0
2009,17,Maize,185.5,30.66667,28.33333,0,524.746561,0.02,1,0.84,0
2010,17,Maize,181.2,29.91667,31.41667,0,648.7821553,0,0.72,0.97,0
2011,17,Maize,181.2,29.33333,32.25,0,505.0373401,0,0.5,1,0
2012,17,Maize,181.2,29.66667,30.75,0,505.0373401,0,0.63,0.94,0
2013,17,Maize,181.2,29.83,31.58,0,505.0373401,0,0.69,0.97,0
2014,17,Maize,370,29.75,31.16,0,501.3821755,1,0.66,0.96,0
2015,17,Maize,181.2,27.99,7.33,0,410.3614097,0,0,0,0
2016,17,Maize,181.2,29.33,8.17,0,393.2638986,0,0.5,0.03,0
2017,17,Maize,181.2,29.67,7.78,0,661.2777098,0,0.63,0.02,0
2008,17,Rice,185.5,29.57259,23.19667,0,-5.968879189,0.02,0.59,0.64,0
2009,17,Rice,185.5,30.66667,28.33333,0,-5.968879189,0.02,1,0.84,0
2010,17,Rice,181.2,29.91667,31.41667,0,-5.968879189,0,0.72,0.97,0
2011,17,Rice,181.2,29.33333,32.25,0,-5.968879189,0,0.5,1,0
2012,17,Rice,181.2,29.66667,30.75,0,-5.968879189,0,0.63,0.94,0
2013,17,Rice,181.2,29.83,31.58,0,-5.968879189,0,0.69,0.97,0
2014,17,Rice,370,29.75,31.16,0,-5.968879189,1,0.66,0.96,0
2015,17,Rice,181.2,27.99,7.33,0,-5.968879189,0,0,0,0
2016,17,Rice,181.2,29.33,8.17,0,-5.968879189,0,0.5,0.03,0
2017,17,Rice,181.2,29.67,7.78,0,-5.968879189,0,0.63,0.02,0
2008,17,Wheat,185.5,29.57259,23.19667,3278,3518.158407,0.02,0.59,0.64,1
2009,17,Wheat,185.5,30.66667,28.33333,3023,3332.279985,0.02,1,0.84,0.92
2010,17,Wheat,181.2,29.91667,31.41667,0,1217.191387,0,0.72,0.97,0
2011,17,Wheat,181.2,29.33333,32.25,1307,1285.532442,0,0.5,1,0.4
2012,17,Wheat,181.2,29.66667,30.75,1301,1280.599661,0,0.63,0.94,0.4
2013,17,Wheat,181.2,29.83,31.58,1322,1288.572838,0,0.69,0.97,0.4
2014,17,Wheat,370,29.75,31.16,971,1436.122391,1,0.66,0.96,0.3
2015,17,Wheat,181.2,27.99,7.33,1393,1322.787262,0,0,0,0.42
2016,17,Wheat,181.2,29.33,8.17,1384,1234.093296,0,0.5,0.03,0.42
2017,17,Wheat,181.2,29.67,7.78,1794,1347.547259,0,0.63,0.02,0.55
