Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,18,Bajra,370,29.49519,28.15445,586,599.5318107,0,0.53,0.63,0.27
2009,18,Bajra,370,30.83333,32.66667,7,-16.58640725,0,1,0.81,0
2010,18,Bajra,427.1,30.16667,37.5,993,1109.990751,0.12,0.77,0.99,0.45
2011,18,Bajra,427.1,29.25,37.66667,1526,1492.882128,0.12,0.45,1,0.69
2012,18,Bajra,427.1,29.66667,34.66667,1226,1249.927262,0.12,0.59,0.88,0.56
2013,18,Bajra,427.1,29.75,36.83,475,546.7924592,0.12,0.62,0.97,0.22
2014,18,Bajra,844.3,30.16,36.16,828,786.632672,1,0.76,0.94,0.38
2015,18,Bajra,427.1,27.97,11.72,354,401.7390536,0.12,0,0,0.16
2016,18,Bajra,427.1,28.83,13.01,406,359.9551058,0.12,0.3,0.05,0.18
2017,18,Bajra,427.1,28.83,13.17,294,366.4620512,0.12,0.3,0.06,0.13
2008,18,Jowar,370,29.49519,28.15445,350,388.9229755,0,0.53,0.63,0.16
2009,18,Jowar,370,30.83333,32.66667,7,44.90817768,0,1,0.81,0
2010,18,Jowar,427.1,30.16667,37.5,679,520.0548984,0.12,0.77,0.99,0.31
2011,18,Jowar,427.1,29.25,37.66667,834,575.4785865,0.12,0.45,1,0.38
2012,18,Jowar,427.1,29.66667,34.66667,763,743.5463192,0.12,0.59,0.88,0.35
2013,18,Jowar,427.1,29.75,36.83,346,414.2964145,0.12,0.62,0.97,0.16
2014,18,Jowar,844.3,30.16,36.16,696,502.1875339,1,0.76,0.94,0.32
2015,18,Jowar,427.1,27.97,11.72,294,360.3762915,0.12,0,0,0.13
2016,18,Jowar,427.1,28.83,13.01,168,537.6802722,0.12,0.3,0.05,0.08
2017,18,Jowar,427.1,28.83,13.17,245,331.7456821,0.12,0.3,0.06,0.11
2008,18,Maize,370,29.49519,28.15445,1731,1667.321095,0,0.53,0.63,0.79
2009,18,Maize,370,30.83333,32.66667,369,792.0155063,0,1,0.81,0.17
2010,18,Maize,427.1,30.16667,37.5,1781,1702.428935,0.12,0.77,0.99,0.81
2011,18,Maize,427.1,29.25,37.66667,1579,1636.520012,0.12,0.45,1,0.72
2012,18,Maize,427.1,29.66667,34.66667,1882,1362.18089,0.12,0.59,0.88,0.85
2013,18,Maize,427.1,29.75,36.83,1590,1660.447995,0.12,0.62,0.97,0.72
2014,18,Maize,844.3,30.16,36.16,1743,1690.768441,1,0.76,0.94,0.79
2015,18,Maize,427.1,27.97,11.72,1311,1102.286419,0.12,0,0,0.6
2016,18,Maize,427.1,28.83,13.01,1490,1613.859421,0.12,0.3,0.05,0.68
2017,18,Maize,427.1,28.83,13.17,2000,1761.383158,0.12,0.3,0.06,0.91
2008,18,Rice,370,29.49519,28.15445,0,-5.968879189,0,0.53,0.63,0
2009,18,Rice,370,30.83333,32.66667,0,79.54111389,0,1,0.81,0
2010,18,Rice,427.1,30.16667,37.5,0,-5.968879189,0.12,0.77,0.99,0
2011,18,Rice,427.1,29.25,37.66667,0,-5.968879189,0.12,0.45,1,0
2012,18,Rice,427.1,29.66667,34.66667,0,31.76602713,0.12,0.59,0.88,0
2013,18,Rice,427.1,29.75,36.83,0,-5.968879189,0.12,0.62,0.97,0
2014,18,Rice,844.3,30.16,36.16,0,-5.968879189,1,0.76,0.94,0
2015,18,Rice,427.1,27.97,11.72,0,-5.968879189,0.12,0,0,0
2016,18,Rice,427.1,28.83,13.01,0,98.93416039,0.12,0.3,0.05,0
2017,18,Rice,427.1,28.83,13.17,0,-5.968879189,0.12,0.3,0.06,0
2008,18,Wheat,370,29.49519,28.15445,1692,1789.374737,0,0.53,0.63,0.77
2009,18,Wheat,370,30.83333,32.66667,1980,1906.54008,0,1,0.81,0.9
2010,18,Wheat,427.1,30.16667,37.5,1790,1917.695841,0.12,0.77,0.99,0.81
2011,18,Wheat,427.1,29.25,37.66667,1811,1884.116329,0.12,0.45,1,0.82
2012,18,Wheat,427.1,29.66667,34.66667,1778,1827.557921,0.12,0.59,0.88,0.81
2013,18,Wheat,427.1,29.75,36.83,2202,2101.256019,0.12,0.62,0.97,1
2014,18,Wheat,844.3,30.16,36.16,1906,1963.050757,1,0.76,0.94,0.87
2015,18,Wheat,427.1,27.97,11.72,2012,2071.739184,0.12,0,0,0.91
2016,18,Wheat,427.1,28.83,13.01,1954,2219.722153,0.12,0.3,0.05,0.89
2017,18,Wheat,427.1,28.83,13.17,2145,2386.867214,0.12,0.3,0.06,0.97
