Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,19,Bajra,844.3,29.11444,31.78259,1393,1246.188238,0.85,0.44,0.63,0.34
2009,19,Bajra,844.3,31,40.08333,529,395.8736157,0.85,1,0.9,0.12
2010,19,Bajra,920.2,30.16667,43.16667,1100,1004.444178,1,0.75,1,0.26
2011,19,Bajra,920.2,28.83333,42.91667,1300,1103.259863,1,0.35,0.99,0.31
2012,19,Bajra,920.2,30,37.91667,1000,949.9705129,1,0.7,0.83,0.24
2013,19,Bajra,920.2,29.75,41.5,900,895.814339,1,0.63,0.95,0.21
2014,19,Bajra,405,27.66,38,1080,966.9360309,0,0,0.83,0.26
2015,19,Bajra,920.2,27.96,12.72,769,889.9815366,1,0.09,0,0.18
2016,19,Bajra,920.2,28.08,16.68,1000,956.8291653,1,0.13,0.13,0.24
2017,19,Bajra,705.6,28.58,13.06,939,872.7251453,0.58,0.28,0.01,0.22
2008,19,Jowar,844.3,29.11444,31.78259,454,633.2012628,0.85,0.44,0.63,0.1
2009,19,Jowar,844.3,31,40.08333,31,125.1685164,0.85,1,0.9,0
2010,19,Jowar,920.2,30.16667,43.16667,1260,993.6274004,1,0.75,1,0.3
2011,19,Jowar,920.2,28.83333,42.91667,1449,1016.354445,1,0.35,0.99,0.35
2012,19,Jowar,920.2,30,37.91667,1389,1213.518954,1,0.7,0.83,0.33
2013,19,Jowar,920.2,29.75,41.5,1169,1152.68137,1,0.63,0.95,0.28
2014,19,Jowar,405,27.66,38,1012,1129.49974,0,0,0.83,0.24
2015,19,Jowar,920.2,27.96,12.72,1331,1241.122063,1,0.09,0,0.32
2016,19,Jowar,920.2,28.08,16.68,604,579.9559594,1,0.13,0.13,0.14
2017,19,Jowar,705.6,28.58,13.06,552,697.8597254,0.58,0.28,0.01,0.13
2008,19,Maize,844.3,29.11444,31.78259,2139,2022.527769,0.85,0.44,0.63,0.52
2009,19,Maize,844.3,31,40.08333,250,752.83797,0.85,1,0.9,0.05
2010,19,Maize,920.2,30.16667,43.16667,2089,2119.314954,1,0.75,1,0.51
2011,19,Maize,920.2,28.83333,42.91667,1716,1831.735509,1,0.35,0.99,0.42
2012,19,Maize,920.2,30,37.91667,2165,1964.348637,1,0.7,0.83,0.53
2013,19,Maize,920.2,29.75,41.5,922,1542.236951,1,0.63,0.95,0.22
2014,19,Maize,405,27.66,38,2031,1964.35934,0,0,0.83,0.49
2015,19,Maize,920.2,27.96,12.72,1804,1365.282388,1,0.09,0,0.44
2016,19,Maize,920.2,28.08,16.68,1869,2017.198124,1,0.13,0.13,0.45
2017,19,Maize,705.6,28.58,13.06,3064,2528.567289,0.58,0.28,0.01,0.75
2008,19,Rice,844.3,29.11444,31.78259,1807,1802.10153,0.85,0.44,0.63,0.44
2009,19,Rice,844.3,31,40.08333,1515,1614.064056,0.85,1,0.9,0.37
2010,19,Rice,920.2,30.16667,43.16667,3831,3466.305758,1,0.75,1,0.94
2011,19,Rice,920.2,28.83333,42.91667,4091,3193.638823,1,0.35,0.99,1
2012,19,Rice,920.2,30,37.91667,1771,1769.918152,1,0.7,0.83,0.43
2013,19,Rice,920.2,29.75,41.5,2147,2128.377787,1,0.63,0.95,0.52
2014,19,Rice,405,27.66,38,2186,2137.753209,0,0,0.83,0.53
2015,19,Rice,920.2,27.96,12.72,2022,2189.357834,1,0.09,0,0.49
2016,19,Rice,920.2,28.08,16.68,1819,2160.731606,1,0.13,0.13,0.44
2017,19,Rice,705.6,28.58,13.06,2885,2456.332112,0.58,0.28,0.01,0.7
2008,19,Wheat,844.3,29.11444,31.78259,2606,2756.346585,0.85,0.44,0.63,0.63
2009,19,Wheat,844.3,31,40.08333,2673,2718.541938,0.85,1,0.9,0.65
2010,19,Wheat,920.2,30.16667,43.16667,3153,3136.435802,1,0.75,1,0.77
2011,19,Wheat,920.2,28.83333,42.91667,3777,3730.171898,1,0.35,0.99,0.92
2012,19,Wheat,920.2,30,37.91667,3242,3282.832155,1,0.7,0.83,0.79
2013,19,Wheat,920.2,29.75,41.5,3088,3304.472557,1,0.63,0.95,0.75
2014,19,Wheat,405,27.66,38,3135,3453.230674,0,0,0.83,0.76
2015,19,Wheat,920.2,27.96,12.72,3472,3609.944003,1,0.09,0,0.85
2016,19,Wheat,920.2,28.08,16.68,3829,3807.137669,1,0.13,0.13,0.94
2017,19,Wheat,705.6,28.58,13.06,4044,3862.022065,0.58,0.28,0.01,0.99
