Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,20,Bajra,405,28.86,30.74481,1681,1515.71183,0.83,0.48,0.72,0.42
2009,20,Bajra,40.5,30.25,34.75,1127,1079.727346,0,1,0.85,0.28
2010,20,Bajra,481,29.75,39.08333,1742,1681.892851,1,0.81,1,0.43
2011,20,Bajra,481,28.91667,38.25,1774,1598.31866,1,0.5,0.97,0.44
2012,20,Bajra,481,29.08333,34.33333,1085,1113.646669,1,0.56,0.84,0.27
2013,20,Bajra,481,29.33,37.25,1224,1227.390041,1,0.66,0.94,0.3
2014,20,Bajra,313.7,29.33,34.33,1349,1287.056593,0.62,0.66,0.84,0.33
2015,20,Bajra,481,27.75,37.16667,998,961.1429357,1,0.06,0.93,0.25
2016,20,Bajra,481,27.58,11.83,1472,1417.071689,1,0,0.07,0.36
2017,20,Bajra,481,27.75,9.71,1045,1009.676346,1,0.06,0,0.26
2008,20,Jowar,405,28.86,30.74481,626,527.4731391,0.83,0.48,0.72,0.15
2009,20,Jowar,40.5,30.25,34.75,340,354.0786629,0,1,0.85,0.08
2010,20,Jowar,481,29.75,39.08333,667,424.269913,1,0.81,1,0.16
2011,20,Jowar,481,28.91667,38.25,1000,478.5435989,1,0.5,0.97,0.25
2012,20,Jowar,481,29.08333,34.33333,1000,684.727474,1,0.56,0.84,0.25
2013,20,Jowar,481,29.33,37.25,500,483.9213499,1,0.66,0.94,0.12
2014,20,Jowar,313.7,29.33,34.33,750,584.053771,0.62,0.66,0.84,0.19
2015,20,Jowar,481,27.75,37.16667,0,380.0589176,1,0.06,0.93,0
2016,20,Jowar,481,27.58,11.83,0,212.688241,1,0,0.07,0
2017,20,Jowar,481,27.75,9.71,0,100.8981805,1,0.06,0,0
2008,20,Maize,405,28.86,30.74481,2000,1738.576228,0.83,0.48,0.72,0.49
2009,20,Maize,40.5,30.25,34.75,880,896.9946699,0,1,0.85,0.22
2010,20,Maize,481,29.75,39.08333,2000,1676.593244,1,0.81,1,0.49
2011,20,Maize,481,28.91667,38.25,0,470.2373652,1,0.5,0.97,0
2012,20,Maize,481,29.08333,34.33333,0,410.3614097,1,0.56,0.84,0
2013,20,Maize,481,29.33,37.25,0,267.021621,1,0.66,0.94,0
2014,20,Maize,313.7,29.33,34.33,0,267.021621,0.62,0.66,0.84,0
2015,20,Maize,481,27.75,37.16667,0,338.6915153,1,0.06,0.93,0
2016,20,Maize,481,27.58,11.83,0,267.021621,1,0,0.07,0
2017,20,Maize,481,27.75,9.71,0,410.3614097,1,0.06,0,0
2008,20,Rice,405,28.86,30.74481,0,-5.968879189,0.83,0.48,0.72,0
2009,20,Rice,40.5,30.25,34.75,0,-5.968879189,0,1,0.85,0
2010,20,Rice,481,29.75,39.08333,0,-5.968879189,1,0.81,1,0
2011,20,Rice,481,28.91667,38.25,0,-5.968879189,1,0.5,0.97,0
2012,20,Rice,481,29.08333,34.33333,0,-5.968879189,1,0.56,0.84,0
2013,20,Rice,481,29.33,37.25,0,-5.968879189,1,0.66,0.94,0
2014,20,Rice,313.7,29.33,34.33,0,-5.968879189,0.62,0.66,0.84,0
2015,20,Rice,481,27.75,37.16667,0,-5.968879189,1,0.06,0.93,0
2016,20,Rice,481,27.58,11.83,0,-5.968879189,1,0,0.07,0
2017,20,Rice,481,27.75,9.71,0,-5.968879189,1,0.06,0,0
2008,20,Wheat,405,28.86,30.74481,4043,4203.234039,0.83,0.48,0.72,1
2009,20,Wheat,40.5,30.25,34.75,3749,3896.156745,0,1,0.85,0.93
2010,20,Wheat,481,29.75,39.08333,3266,3319.280223,1,0.81,1,0.81
2011,20,Wheat,481,28.91667,38.25,3394,3514.611219,1,0.5,0.97,0.84
2012,20,Wheat,481,29.08333,34.33333,3736,3672.096237,1,0.56,0.84,0.92
2013,20,Wheat,481,29.33,37.25,3995,3856.643736,1,0.66,0.94,0.99
2014,20,Wheat,313.7,29.33,34.33,4032,3877.393624,0.62,0.66,0.84,1
2015,20,Wheat,481,27.75,37.16667,3522,3548.671822,1,0.06,0.93,0.87
2016,20,Wheat,481,27.58,11.83,4045,3913.763599,1,0,0.07,1
2017,20,Wheat,481,27.75,9.71,3956,3781.664758,1,0.06,0,0.98
