Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,21,Bajra,313.7,29.30444,26.82,992,947.0328966,0.01,0.5,0.64,0.36
2009,21,Bajra,313.7,30.66,31.41667,351,483.2674708,0.01,1,0.81,0.13
2010,21,Bajra,308.1,29.75,35.66667,978,1090.008207,0,0.67,0.98,0.36
2011,21,Bajra,308.1,28.91,36.16667,1154,1101.29766,0,0.36,1,0.42
2012,21,Bajra,308.1,29.33,34,545,465.3142255,0,0.51,0.92,0.2
2013,21,Bajra,308.1,29.58,35.33,499,533.2703184,0,0.6,0.97,0.18
2014,21,Bajra,709.4,29.58,35.33,1117,1109.840631,1,0.6,0.97,0.41
2015,21,Bajra,308.1,27.93,10.5,638,577.4608803,0,0,0,0.23
2016,21,Bajra,308.1,28.75,11.08,791,720.7886619,0,0.3,0.02,0.29
2017,21,Bajra,308.1,29.25,11.89,995,881.0819737,0,0.48,0.05,0.37
2008,21,Jowar,313.7,29.30444,26.82,829,713.2772786,0.01,0.5,0.64,0.3
2009,21,Jowar,313.7,30.66,31.41667,73,65.14205166,0.01,1,0.81,0.03
2010,21,Jowar,308.1,29.75,35.66667,710,652.8117468,0,0.67,0.98,0.26
2011,21,Jowar,308.1,28.91,36.16667,637,678.1139043,0,0.36,1,0.23
2012,21,Jowar,308.1,29.33,34,279,279.310993,0,0.51,0.92,0.1
2013,21,Jowar,308.1,29.58,35.33,281,525.5804436,0,0.6,0.97,0.1
2014,21,Jowar,709.4,29.58,35.33,823,752.4180845,1,0.6,0.97,0.3
2015,21,Jowar,308.1,27.93,10.5,624,578.6325082,0,0,0,0.23
2016,21,Jowar,308.1,28.75,11.08,470,376.4891991,0,0.3,0.02,0.17
2017,21,Jowar,308.1,29.25,11.89,581,547.4662575,0,0.48,0.05,0.21
2008,21,Maize,313.7,29.30444,26.82,1737,1659.100008,0.01,0.5,0.64,0.64
2009,21,Maize,313.7,30.66,31.41667,588,1573.612512,0.01,1,0.81,0.22
2010,21,Maize,308.1,29.75,35.66667,1750,1337.746831,0,0.67,0.98,0.64
2011,21,Maize,308.1,28.91,36.16667,1500,1606.681927,0,0.36,1,0.55
2012,21,Maize,308.1,29.33,34,2000,1766.646373,0,0.51,0.92,0.74
2013,21,Maize,308.1,29.58,35.33,1500,1395.06077,0,0.6,0.97,0.55
2014,21,Maize,709.4,29.58,35.33,1500,1590.639016,1,0.6,0.97,0.55
2015,21,Maize,308.1,27.93,10.5,1333,1321.158488,0,0,0,0.49
2016,21,Maize,308.1,28.75,11.08,1500,1580.805358,0,0.3,0.02,0.55
2017,21,Maize,308.1,29.25,11.89,2000,1722.268612,0,0.48,0.05,0.74
2008,21,Rice,313.7,29.30444,26.82,0,-5.968879189,0.01,0.5,0.64,0
2009,21,Rice,313.7,30.66,31.41667,0,-5.968879189,0.01,1,0.81,0
2010,21,Rice,308.1,29.75,35.66667,0,-5.968879189,0,0.67,0.98,0
2011,21,Rice,308.1,28.91,36.16667,0,54.67650597,0,0.36,1,0
2012,21,Rice,308.1,29.33,34,0,-5.968879189,0,0.51,0.92,0
2013,21,Rice,308.1,29.58,35.33,0,-5.968879189,0,0.6,0.97,0
2014,21,Rice,709.4,29.58,35.33,0,-5.968879189,1,0.6,0.97,0
2015,21,Rice,308.1,27.93,10.5,0,74.5681923,0,0,0,0
2016,21,Rice,308.1,28.75,11.08,0,-5.968879189,0,0.3,0.02,0
2017,21,Rice,308.1,29.25,11.89,0,-5.968879189,0,0.48,0.05,0
2008,21,Wheat,313.7,29.30444,26.82,2562,2420.725047,0.01,0.5,0.64,0.94
2009,21,Wheat,313.7,30.66,31.41667,2516,2535.854151,0.01,1,0.81,0.93
2010,21,Wheat,308.1,29.75,35.66667,2514,2506.528281,0,0.67,0.98,0.92
2011,21,Wheat,308.1,28.91,36.16667,2719,2500.362434,0,0.36,1,1
2012,21,Wheat,308.1,29.33,34,2184,2227.099412,0,0.51,0.92,0.8
2013,21,Wheat,308.1,29.58,35.33,2246,2243.249038,0,0.6,0.97,0.83
2014,21,Wheat,709.4,29.58,35.33,1930,2033.974164,1,0.6,0.97,0.71
2015,21,Wheat,308.1,27.93,10.5,1968,2129.295283,0,0,0,0.72
2016,21,Wheat,308.1,28.75,11.08,2318,2382.400242,0,0.3,0.02,0.85
2017,21,Wheat,308.1,29.25,11.89,2285,2320.99063,0,0.48,0.05,0.84
