Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,22,Bajra,709.4,28.98815,34.87037,783,854.9874982,0.36,0.48,0.64,0.18
2009,22,Bajra,709.4,30.25,44.08333,21,101.8042292,0.36,1,0.9,0
2010,22,Bajra,696.2,28.83333,47.75,1902,2009.526504,0,0.41,1,0.45
2011,22,Bajra,696.2,27.83333,46.41667,1970,2027.532961,0,0,0.96,0.46
2012,22,Bajra,696.2,29.66667,38.5,1853,1924.702752,0,0.76,0.74,0.44
2013,22,Bajra,696.2,29.41,41.42,2033,2058.38233,0,0.65,0.82,0.48
2014,22,Bajra,732.4,29.91,35.75,2070,2055.75415,1,0.86,0.66,0.49
2015,22,Bajra,696.2,27.99,32.58333,1815,1883.492098,0,0.06,0.57,0.43
2016,22,Bajra,696.2,28.33,15.25,1940,2038.016373,0,0.21,0.09,0.46
2017,22,Bajra,696.2,28.67,12.08,2082,2067.159911,0,0.35,0,0.49
2008,22,Jowar,709.4,28.98815,34.87037,600,544.5266161,0.36,0.48,0.64,0.14
2009,22,Jowar,709.4,30.25,44.08333,143,352.7368719,0.36,1,0.9,0.03
2010,22,Jowar,696.2,28.83333,47.75,700,654.4812742,0,0.41,1,0.16
2011,22,Jowar,696.2,27.83333,46.41667,739,669.8276614,0,0,0.96,0.17
2012,22,Jowar,696.2,29.66667,38.5,618,660.4365737,0,0.76,0.74,0.15
2013,22,Jowar,696.2,29.41,41.42,615,684.1254289,0,0.65,0.82,0.14
2014,22,Jowar,732.4,29.91,35.75,764,738.742183,1,0.86,0.66,0.18
2015,22,Jowar,696.2,27.99,32.58333,545,564.6289918,0,0.06,0.57,0.13
2016,22,Jowar,696.2,28.33,15.25,603,501.4612862,0,0.21,0.09,0.14
2017,22,Jowar,696.2,28.67,12.08,583,486.5482019,0,0.35,0,0.14
2008,22,Maize,709.4,28.98815,34.87037,1736,1720.886353,0.36,0.48,0.64,0.41
2009,22,Maize,709.4,30.25,44.08333,0,267.021621,0.36,1,0.9,0
2010,22,Maize,696.2,28.83333,47.75,1792,1598.967975,0,0.41,1,0.42
2011,22,Maize,696.2,27.83333,46.41667,1587,1522.148374,0,0,0.96,0.37
2012,22,Maize,696.2,29.66667,38.5,1888,1732.407501,0,0.76,0.74,0.44
2013,22,Maize,696.2,29.41,41.42,1600,1575.643474,0,0.65,0.82,0.38
2014,22,Maize,732.4,29.91,35.75,1740,1603.59916,1,0.86,0.66,0.41
2015,22,Maize,696.2,27.99,32.58333,1309,1274.964127,0,0.06,0.57,0.31
2016,22,Maize,696.2,28.33,15.25,1500,1493.885736,0,0.21,0.09,0.35
2017,22,Maize,696.2,28.67,12.08,2040,1719.233614,0,0.35,0,0.48
2008,22,Rice,709.4,28.98815,34.87037,1919,1472.840236,0.36,0.48,0.64,0.45
2009,22,Rice,709.4,30.25,44.08333,1031,1164.026444,0.36,1,0.9,0.24
2010,22,Rice,696.2,28.83333,47.75,1835,1687.22494,0,0.41,1,0.43
2011,22,Rice,696.2,27.83333,46.41667,1213,1504.756194,0,0,0.96,0.29
2012,22,Rice,696.2,29.66667,38.5,1432,1497.260533,0,0.76,0.74,0.34
2013,22,Rice,696.2,29.41,41.42,1360,1567.781767,0,0.65,0.82,0.32
2014,22,Rice,732.4,29.91,35.75,1159,1325.532269,1,0.86,0.66,0.27
2015,22,Rice,696.2,27.99,32.58333,1350,1442.711602,0,0.06,0.57,0.32
2016,22,Rice,696.2,28.33,15.25,1546,1595.590664,0,0.21,0.09,0.36
2017,22,Rice,696.2,28.67,12.08,1304,1448.841722,0,0.35,0,0.31
2008,22,Wheat,709.4,28.98815,34.87037,1608,1673.388168,0.36,0.48,0.64,0.38
2009,22,Wheat,709.4,30.25,44.08333,1876,1847.206365,0.36,1,0.9,0.44
2010,22,Wheat,696.2,28.83333,47.75,4246,4003.741294,0,0.41,1,1
2011,22,Wheat,696.2,27.83333,46.41667,3943,3792.443545,0,0,0.96,0.93
2012,22,Wheat,696.2,29.66667,38.5,3913,3786.817087,0,0.76,0.74,0.92
2013,22,Wheat,696.2,29.41,41.42,3755,3767.672524,0,0.65,0.82,0.88
2014,22,Wheat,732.4,29.91,35.75,3628,3721.171907,1,0.86,0.66,0.85
2015,22,Wheat,696.2,27.99,32.58333,3536,3441.600886,0,0.06,0.57,0.83
2016,22,Wheat,696.2,28.33,15.25,4044,4028.316084,0,0.21,0.09,0.95
2017,22,Wheat,696.2,28.67,12.08,4237,3860.116299,0,0.35,0,1
