Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,23,Bajra,732.4,29.11444,31.78259,1227,1284.181712,0.85,0.44,0.63,0.14
2009,23,Bajra,725,31,40.08333,819,944.8122371,0.83,1,0.9,0.03
2010,23,Bajra,807.9,30.16667,43.16667,1108,1045.974318,1,0.75,1,0.11
2011,23,Bajra,807.9,28.83333,42.91667,1291,1139.128179,1,0.35,0.99,0.16
2012,23,Bajra,807.9,30,37.91667,974,1014.919775,1,0.7,0.83,0.07
2013,23,Bajra,807.9,29.75,41.5,930,873.6578362,1,0.63,0.95,0.06
2014,23,Bajra,311.8,27.66,38,1094,895.4627451,0,0,0.83,0.1
2015,23,Bajra,807.9,27.96,12.72,792,861.772402,1,0.09,0,0.02
2016,23,Bajra,807.9,28.08,16.68,1000,849.5727571,1,0.13,0.13,0.08
2017,23,Bajra,807.9,28.58,13.06,875,1037.552416,1,0.28,0.01,0.04
2008,23,Jowar,732.4,29.11444,31.78259,1359,966.0017996,0.85,0.44,0.63,0.17
2009,23,Jowar,725,31,40.08333,1642,1001.784082,0.83,1,0.9,0.25
2010,23,Jowar,807.9,30.16667,43.16667,1015,1047.237453,1,0.75,1,0.08
2011,23,Jowar,807.9,28.83333,42.91667,850,1092.194015,1,0.35,0.99,0.04
2012,23,Jowar,807.9,30,37.91667,1054,1155.709614,1,0.7,0.83,0.09
2013,23,Jowar,807.9,29.75,41.5,1169,1096.05845,1,0.63,0.95,0.12
2014,23,Jowar,311.8,27.66,38,1101,1126.787762,0,0,0.83,0.1
2015,23,Jowar,807.9,27.96,12.72,955,1010.831372,1,0.09,0,0.06
2016,23,Jowar,807.9,28.08,16.68,1373,1247.203414,1,0.13,0.13,0.18
2017,23,Jowar,807.9,28.58,13.06,1219,1136.823081,1,0.28,0.01,0.14
2008,23,Maize,732.4,29.11444,31.78259,1445,1703.942534,0.85,0.44,0.63,0.2
2009,23,Maize,725,31,40.08333,1066,1540.621422,0.83,1,0.9,0.09
2010,23,Maize,807.9,30.16667,43.16667,2024,1728.917936,1,0.75,1,0.35
2011,23,Maize,807.9,28.83333,42.91667,1220,1655.874676,1,0.35,0.99,0.14
2012,23,Maize,807.9,30,37.91667,2037,1705.901952,1,0.7,0.83,0.36
2013,23,Maize,807.9,29.75,41.5,720,1323.891088,1,0.63,0.95,0
2014,23,Maize,311.8,27.66,38,1354,1564.938796,0,0,0.83,0.17
2015,23,Maize,807.9,27.96,12.72,1377,1287.219769,1,0.09,0,0.18
2016,23,Maize,807.9,28.08,16.68,1758,1644.141412,1,0.13,0.13,0.28
2017,23,Maize,807.9,28.58,13.06,2648,1974.042111,1,0.28,0.01,0.52
2008,23,Rice,732.4,29.11444,31.78259,3063,2670.40074,0.85,0.44,0.63,0.64
2009,23,Rice,725,31,40.08333,2175,2475.958016,0.83,1,0.9,0.4
2010,23,Rice,807.9,30.16667,43.16667,4107,3809.670062,1,0.75,1,0.92
2011,23,Rice,807.9,28.83333,42.91667,2330,2675.5594,1,0.35,0.99,0.44
2012,23,Rice,807.9,30,37.91667,2687,2571.283405,1,0.7,0.83,0.53
2013,23,Rice,807.9,29.75,41.5,2197,2321.366281,1,0.63,0.95,0.4
2014,23,Rice,311.8,27.66,38,2233,2313.978049,0,0,0.83,0.41
2015,23,Rice,807.9,27.96,12.72,2646,2480.216093,1,0.09,0,0.52
2016,23,Rice,807.9,28.08,16.68,2657,2669.882543,1,0.13,0.13,0.53
2017,23,Rice,807.9,28.58,13.06,2893,2884.664184,1,0.28,0.01,0.59
2008,23,Wheat,732.4,29.11444,31.78259,3613,3657.082373,0.85,0.44,0.63,0.79
2009,23,Wheat,725,31,40.08333,3761,3668.226411,0.83,1,0.9,0.83
2010,23,Wheat,807.9,30.16667,43.16667,3569,3660.498472,1,0.75,1,0.77
2011,23,Wheat,807.9,28.83333,42.91667,4184,4012.122185,1,0.35,0.99,0.94
2012,23,Wheat,807.9,30,37.91667,4229,4067.403884,1,0.7,0.83,0.95
2013,23,Wheat,807.9,29.75,41.5,4011,3999.759715,1,0.63,0.95,0.89
2014,23,Wheat,311.8,27.66,38,2056,2288.039581,0,0,0.83,0.36
2015,23,Wheat,807.9,27.96,12.72,3904,3868.446557,1,0.09,0,0.87
2016,23,Wheat,807.9,28.08,16.68,4398,4147.686063,1,0.13,0.13,1
2017,23,Wheat,807.9,28.58,13.06,4171,4129.498492,1,0.28,0.01,0.94
