Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,24,Bajra,873.4,28.98815,34.87037,606,578.9057053,1,0.48,0.64,0.13
2009,24,Bajra,873.4,30.25,44.08333,76,173.8091421,1,1,0.9,0
2010,24,Bajra,721,28.83333,47.75,1867,1949.65956,0.65,0.41,1,0.44
2011,24,Bajra,721,27.83333,46.41667,1705,1662.575282,0.65,0,0.96,0.4
2012,24,Bajra,721,29.66667,38.5,1698,1708.359023,0.65,0.76,0.74,0.4
2013,24,Bajra,721,29.41,41.42,1632,1630.710549,0.65,0.65,0.82,0.39
2014,24,Bajra,440.3,29.91,35.75,1747,1671.3559,0,0.86,0.66,0.42
2015,24,Bajra,721,27.99,32.58333,1581,1528.894321,0.65,0.06,0.57,0.37
2016,24,Bajra,721,28.33,15.25,1723,1724.958573,0.65,0.21,0.09,0.41
2017,24,Bajra,721,28.67,12.08,1549,1607.174165,0.65,0.35,0,0.37
2008,24,Jowar,873.4,28.98815,34.87037,577,799.5536962,1,0.48,0.64,0.12
2009,24,Jowar,873.4,30.25,44.08333,146,298.9691047,1,1,0.9,0.02
2010,24,Jowar,721,28.83333,47.75,700,695.1704174,0.65,0.41,1,0.15
2011,24,Jowar,721,27.83333,46.41667,1760,1233.501987,0.65,0,0.96,0.42
2012,24,Jowar,721,29.66667,38.5,2043,1449.012976,0.65,0.76,0.74,0.49
2013,24,Jowar,721,29.41,41.42,615,609.5523501,0.65,0.65,0.82,0.13
2014,24,Jowar,440.3,29.91,35.75,762,699.773508,0,0.86,0.66,0.17
2015,24,Jowar,721,27.99,32.58333,545,549.8527983,0.65,0.06,0.57,0.12
2016,24,Jowar,721,28.33,15.25,604,765.0239756,0.65,0.21,0.09,0.13
2017,24,Jowar,721,28.67,12.08,503,546.8424454,0.65,0.35,0,0.11
2008,24,Maize,873.4,28.98815,34.87037,1736,1678.820621,1,0.48,0.64,0.41
2009,24,Maize,873.4,30.25,44.08333,1000,875.5554678,1,1,0.9,0.23
2010,24,Maize,721,28.83333,47.75,1797,1700.401082,0.65,0.41,1,0.43
2011,24,Maize,721,27.83333,46.41667,1583,1647.166642,0.65,0,0.96,0.37
2012,24,Maize,721,29.66667,38.5,1888,1775.317992,0.65,0.76,0.74,0.45
2013,24,Maize,721,29.41,41.42,1597,1663.635679,0.65,0.65,0.82,0.38
2014,24,Maize,440.3,29.91,35.75,1740,1708.683198,0,0.86,0.66,0.41
2015,24,Maize,721,27.99,32.58333,1317,1348.683365,0.65,0.06,0.57,0.31
2016,24,Maize,721,28.33,15.25,1499,1683.981986,0.65,0.21,0.09,0.35
2017,24,Maize,721,28.67,12.08,2033,1815.879438,0.65,0.35,0,0.49
2008,24,Rice,873.4,28.98815,34.87037,1813,1809.643383,1,0.48,0.64,0.43
2009,24,Rice,873.4,30.25,44.08333,1515,1616.832414,1,1,0.9,0.36
2010,24,Rice,721,28.83333,47.75,3037,2278.184667,0.65,0.41,1,0.74
2011,24,Rice,721,27.83333,46.41667,1886,1912.26342,0.65,0,0.96,0.45
2012,24,Rice,721,29.66667,38.5,1768,1724.253383,0.65,0.76,0.74,0.42
2013,24,Rice,721,29.41,41.42,2147,2158.901014,0.65,0.65,0.82,0.51
2014,24,Rice,440.3,29.91,35.75,2186,2102.064997,0,0.86,0.66,0.52
2015,24,Rice,721,27.99,32.58333,2022,2158.355972,0.65,0.06,0.57,0.48
2016,24,Rice,721,28.33,15.25,2217,2125.716438,0.65,0.21,0.09,0.53
2017,24,Rice,721,28.67,12.08,2277,2206.615293,0.65,0.35,0,0.55
2008,24,Wheat,873.4,28.98815,34.87037,2395,2574.107722,1,0.48,0.64,0.58
2009,24,Wheat,873.4,30.25,44.08333,1765,2065.554675,1,1,0.9,0.42
2010,24,Wheat,721,28.83333,47.75,3461,3541.299751,0.65,0.41,1,0.84
2011,24,Wheat,721,27.83333,46.41667,3286,3363.144079,0.65,0,0.96,0.8
2012,24,Wheat,721,29.66667,38.5,3284,3345.20574,0.65,0.76,0.74,0.8
2013,24,Wheat,721,29.41,41.42,2829,3005.931104,0.65,0.65,0.82,0.68
2014,24,Wheat,440.3,29.91,35.75,3298,3337.28321,0,0.86,0.66,0.8
2015,24,Wheat,721,27.99,32.58333,3325,3352.507917,0.65,0.06,0.57,0.81
2016,24,Wheat,721,28.33,15.25,4102,4006.313975,0.65,0.21,0.09,1
2017,24,Wheat,721,28.67,12.08,3916,4005.192861,0.65,0.35,0,0.95
