Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,25,Bajra,311.8,28.86,30.74481,1572,1714.790393,0,0.48,0.72,0.38
2009,25,Bajra,311.7,30.25,34.75,1596,1529.680625,0,1,0.85,0.39
2010,25,Bajra,394.1,29.75,39.08333,1438,1260.825295,0.73,0.81,1,0.35
2011,25,Bajra,394.1,28.91667,38.25,1267,1107.494531,0.73,0.5,0.97,0.31
2012,25,Bajra,394.1,29.08333,34.33333,295,335.0625056,0.73,0.56,0.84,0.07
2013,25,Bajra,394.1,29.33,37.25,857,899.3550818,0.73,0.66,0.94,0.21
2014,25,Bajra,424.4,29.33,34.33,909,871.8333322,1,0.66,0.84,0.22
2015,25,Bajra,394.1,27.75,37.16667,698,685.7144298,0.73,0.06,0.93,0.17
2016,25,Bajra,394.1,27.58,11.83,1056,1075.767062,0.73,0,0.07,0.26
2017,25,Bajra,394.1,27.75,9.71,916,927.5675734,0.73,0.06,0,0.22
2008,25,Jowar,311.8,28.86,30.74481,674,697.304406,0,0.48,0.72,0.16
2009,25,Jowar,311.7,30.25,34.75,553,555.6660336,0,1,0.85,0.13
2010,25,Jowar,394.1,29.75,39.08333,1043,988.2932577,0.73,0.81,1,0.25
2011,25,Jowar,394.1,28.91667,38.25,1044,987.8472,0.73,0.5,0.97,0.25
2012,25,Jowar,394.1,29.08333,34.33333,177,316.3803285,0.73,0.56,0.84,0.04
2013,25,Jowar,394.1,29.33,37.25,517,554.8246444,0.73,0.66,0.94,0.13
2014,25,Jowar,424.4,29.33,34.33,872,722.4827282,1,0.66,0.84,0.21
2015,25,Jowar,394.1,27.75,37.16667,721,746.4910303,0.73,0.06,0.93,0.17
2016,25,Jowar,394.1,27.58,11.83,582,560.4838088,0.73,0,0.07,0.14
2017,25,Jowar,394.1,27.75,9.71,496,471.6734812,0.73,0.06,0,0.12
2008,25,Maize,311.8,28.86,30.74481,1731,1682.962975,0,0.48,0.72,0.42
2009,25,Maize,311.7,30.25,34.75,1000,1376.438431,0,1,0.85,0.24
2010,25,Maize,394.1,29.75,39.08333,1796,1691.415185,0.73,0.81,1,0.44
2011,25,Maize,394.1,28.91667,38.25,1583,1609.166713,0.73,0.5,0.97,0.38
2012,25,Maize,394.1,29.08333,34.33333,1885,1715.337443,0.73,0.56,0.84,0.46
2013,25,Maize,394.1,29.33,37.25,1583,1613.833043,0.73,0.66,0.94,0.38
2014,25,Maize,424.4,29.33,34.33,1720,1675.276992,1,0.66,0.84,0.42
2015,25,Maize,394.1,27.75,37.16667,1323,1330.537925,0.73,0.06,0.93,0.32
2016,25,Maize,394.1,27.58,11.83,1480,1571.049581,0.73,0,0.07,0.36
2017,25,Maize,394.1,27.75,9.71,2045,1759.4641,0.73,0.06,0,0.5
2008,25,Rice,311.8,28.86,30.74481,0,-5.968879189,0,0.48,0.72,0
2009,25,Rice,311.7,30.25,34.75,0,-5.968879189,0,1,0.85,0
2010,25,Rice,394.1,29.75,39.08333,0,-5.968879189,0.73,0.81,1,0
2011,25,Rice,394.1,28.91667,38.25,0,-5.968879189,0.73,0.5,0.97,0
2012,25,Rice,394.1,29.08333,34.33333,0,72.22323741,0.73,0.56,0.84,0
2013,25,Rice,394.1,29.33,37.25,0,-5.968879189,0.73,0.66,0.94,0
2014,25,Rice,424.4,29.33,34.33,0,-5.968879189,1,0.66,0.84,0
2015,25,Rice,394.1,27.75,37.16667,0,74.5681923,0.73,0.06,0.93,0
2016,25,Rice,394.1,27.58,11.83,0,-5.968879189,0.73,0,0.07,0
2017,25,Rice,394.1,27.75,9.71,0,77.14225198,0.73,0.06,0,0
2008,25,Wheat,311.8,28.86,30.74481,4125,3841.505843,0,0.48,0.72,1
2009,25,Wheat,311.7,30.25,34.75,3921,3947.417713,0,1,0.85,0.95
2010,25,Wheat,394.1,29.75,39.08333,2520,2533.35893,0.73,0.81,1,0.61
2011,25,Wheat,394.1,28.91667,38.25,2509,2556.581267,0.73,0.5,0.97,0.61
2012,25,Wheat,394.1,29.08333,34.33333,2535,2809.879529,0.73,0.56,0.84,0.61
2013,25,Wheat,394.1,29.33,37.25,2509,2552.62758,0.73,0.66,0.94,0.61
2014,25,Wheat,424.4,29.33,34.33,2255,2272.829454,1,0.66,0.84,0.55
2015,25,Wheat,394.1,27.75,37.16667,2658,2542.918114,0.73,0.06,0.93,0.64
2016,25,Wheat,394.1,27.58,11.83,2544,2509.365415,0.73,0,0.07,0.62
2017,25,Wheat,394.1,27.75,9.71,2655,2565.145626,0.73,0.06,0,0.64
