Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,26,Bajra,591.1,29.49519,28.15445,830,803.1418638,0.53,0.53,0.63,0.28
2009,26,Bajra,591.2,30.83333,32.66667,398,526.5035141,0.53,1,0.81,0.13
2010,26,Bajra,913.4,30.16667,37.5,1110,989.1591281,1,0.77,0.99,0.37
2011,26,Bajra,913.4,29.25,37.66667,697,766.0399632,1,0.45,1,0.23
2012,26,Bajra,913.4,29.66667,34.66667,1213,879.6232879,1,0.59,0.88,0.41
2013,26,Bajra,913.4,29.75,36.83,471,677.2387212,1,0.62,0.97,0.16
2014,26,Bajra,226.4,30.16,36.16,850,754.8237869,0,0.76,0.94,0.28
2015,26,Bajra,913.4,27.97,11.72,770,777.5626795,1,0,0,0.26
2016,26,Bajra,913.4,28.83,13.01,516,779.3261985,1,0.3,0.05,0.17
2017,26,Bajra,913.4,28.83,13.17,1,815.3648661,1,0.3,0.06,0
2008,26,Jowar,591.1,29.49519,28.15445,1172,1068.608835,0.53,0.53,0.63,0.39
2009,26,Jowar,591.2,30.83333,32.66667,1211,1055.422962,0.53,1,0.81,0.41
2010,26,Jowar,913.4,30.16667,37.5,700,1026.482803,1,0.77,0.99,0.23
2011,26,Jowar,913.4,29.25,37.66667,532,730.6468923,1,0.45,1,0.18
2012,26,Jowar,913.4,29.66667,34.66667,1016,872.1062128,1,0.59,0.88,0.34
2013,26,Jowar,913.4,29.75,36.83,495,736.8552237,1,0.62,0.97,0.17
2014,26,Jowar,226.4,30.16,36.16,758,678.5796288,0,0.76,0.94,0.25
2015,26,Jowar,913.4,27.97,11.72,980,853.0410082,1,0,0,0.33
2016,26,Jowar,913.4,28.83,13.01,168,303.0526493,1,0.3,0.05,0.06
2017,26,Jowar,913.4,28.83,13.17,0,266.9365136,1,0.3,0.06,0
2008,26,Maize,591.1,29.49519,28.15445,1282,1246.734948,0.53,0.53,0.63,0.43
2009,26,Maize,591.2,30.83333,32.66667,1330,1334.717959,0.53,1,0.81,0.45
2010,26,Maize,913.4,30.16667,37.5,1786,1699.736744,1,0.77,0.99,0.6
2011,26,Maize,913.4,29.25,37.66667,1308,1309.141216,1,0.45,1,0.44
2012,26,Maize,913.4,29.66667,34.66667,1540,1500.483039,1,0.59,0.88,0.52
2013,26,Maize,913.4,29.75,36.83,1027,1254.846763,1,0.62,0.97,0.34
2014,26,Maize,226.4,30.16,36.16,1396,1338.513112,0,0.76,0.94,0.47
2015,26,Maize,913.4,27.97,11.72,1248,1230.297635,1,0,0,0.42
2016,26,Maize,913.4,28.83,13.01,1309,1304.702157,1,0.3,0.05,0.44
2017,26,Maize,913.4,28.83,13.17,42,658.1530731,1,0.3,0.06,0.01
2008,26,Rice,591.1,29.49519,28.15445,1667,1751.349653,0.53,0.53,0.63,0.56
2009,26,Rice,591.2,30.83333,32.66667,0,-5.968879189,0.53,1,0.81,0
2010,26,Rice,913.4,30.16667,37.5,0,-5.968879189,1,0.77,0.99,0
2011,26,Rice,913.4,29.25,37.66667,0,-5.968879189,1,0.45,1,0
2012,26,Rice,913.4,29.66667,34.66667,2000,1507.808252,1,0.59,0.88,0.67
2013,26,Rice,913.4,29.75,36.83,0,54.67650597,1,0.62,0.97,0
2014,26,Rice,226.4,30.16,36.16,0,16.49686682,0,0.76,0.94,0
2015,26,Rice,913.4,27.97,11.72,2000,1980.505516,1,0,0,0.67
2016,26,Rice,913.4,28.83,13.01,2500,2254.346294,1,0.3,0.05,0.84
2017,26,Rice,913.4,28.83,13.17,0,31.76602713,1,0.3,0.06,0
2008,26,Wheat,591.1,29.49519,28.15445,3698,3664.069499,0.53,0.53,0.63,1.24
2009,26,Wheat,591.2,30.83333,32.66667,3535,3553.508519,0.53,1,0.81,1.18
2010,26,Wheat,913.4,30.16667,37.5,2929,2928.585027,1,0.77,0.99,0.98
2011,26,Wheat,913.4,29.25,37.66667,2715,2937.480261,1,0.45,1,0.91
2012,26,Wheat,913.4,29.66667,34.66667,2758,2807.819528,1,0.59,0.88,0.92
2013,26,Wheat,913.4,29.75,36.83,2765,2773.990717,1,0.62,0.97,0.93
2014,26,Wheat,226.4,30.16,36.16,2323,2201.474554,0,0.76,0.94,0.78
2015,26,Wheat,913.4,27.97,11.72,2677,2753.357958,1,0,0,0.9
2016,26,Wheat,913.4,28.83,13.01,2897,2805.258992,1,0.3,0.05,0.97
2017,26,Wheat,913.4,28.83,13.17,2985,2657.602211,1,0.3,0.06,1
