Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,28,Bajra,567.8,29.0166,31.37778,833,802.25724,0.04,0.51,0.63,0.15
2009,28,Bajra,567.8,30.33333,37.25,400,597.4594368,0.04,1,0.84,0
2010,28,Bajra,554.5,29.45455,41.58333,1110,1105.196934,0,0.67,0.99,0.24
2011,28,Bajra,554.5,28.81818,41.91667,1290,1067.571417,0,0.43,1,0.31
2012,28,Bajra,554.5,29.08333,38,970,972.0307793,0,0.53,0.86,0.2
2013,28,Bajra,554.5,28,41.41,933,935.4572603,0,0.5,0.98,0.18
2014,28,Bajra,873.4,29.5,38.58,1091,1017.066553,1,0.69,0.88,0.24
2015,28,Bajra,554.5,27.96,13.28,794,922.3163569,0,0.11,0,0.14
2016,28,Bajra,554.5,29.33,16.21,1000,944.9955877,0,0.62,0.1,0.21
2017,28,Bajra,554.5,27.67,14.17,886,920.1131794,0,0,0.03,0.17
2008,28,Jowar,567.8,29.0166,31.37778,1056,863.6305595,0.04,0.51,0.63,0.23
2009,28,Jowar,567.8,30.33333,37.25,804,622.6859315,0.04,1,0.84,0.14
2010,28,Jowar,554.5,29.45455,41.58333,1434,1595.91108,0,0.67,0.99,0.35
2011,28,Jowar,554.5,28.81818,41.91667,1475,1402.544971,0,0.43,1,0.37
2012,28,Jowar,554.5,29.08333,38,2437,2307.261064,0,0.53,0.86,0.7
2013,28,Jowar,554.5,28,41.41,1926,2010.100841,0,0.5,0.98,0.52
2014,28,Jowar,873.4,29.5,38.58,2121,2119.235244,1,0.69,0.88,0.59
2015,28,Jowar,554.5,27.96,13.28,890,1124.099843,0,0.11,0,0.17
2016,28,Jowar,554.5,29.33,16.21,1081,1497.021607,0,0.62,0.1,0.23
2017,28,Jowar,554.5,27.67,14.17,1790,2007.952478,0,0,0.03,0.48
2008,28,Maize,567.8,29.0166,31.37778,1254,1371.226744,0.04,0.51,0.63,0.29
2009,28,Maize,567.8,30.33333,37.25,1732,1642.818669,0.04,1,0.84,0.46
2010,28,Maize,554.5,29.45455,41.58333,1231,1390.898245,0,0.67,0.99,0.29
2011,28,Maize,554.5,28.81818,41.91667,1521,1586.448395,0,0.43,1,0.38
2012,28,Maize,554.5,29.08333,38,2054,1970.968114,0,0.53,0.86,0.57
2013,28,Maize,554.5,28,41.41,1818,1734.307197,0,0.5,0.98,0.49
2014,28,Maize,873.4,29.5,38.58,2016,1860.946212,1,0.69,0.88,0.55
2015,28,Maize,554.5,27.96,13.28,1012,1577.684578,0,0.11,0,0.21
2016,28,Maize,554.5,29.33,16.21,1599,1561.95322,0,0.62,0.1,0.41
2017,28,Maize,554.5,27.67,14.17,2340,2333.631406,0,0,0.03,0.67
2008,28,Rice,567.8,29.0166,31.37778,1810,1868.723845,0.04,0.51,0.63,0.48
2009,28,Rice,567.8,30.33333,37.25,1515,1484.739693,0.04,1,0.84,0.38
2010,28,Rice,554.5,29.45455,41.58333,3035,2591.28936,0,0.67,0.99,0.9
2011,28,Rice,554.5,28.81818,41.91667,1885,1935.600694,0,0.43,1,0.51
2012,28,Rice,554.5,29.08333,38,1780,1759.473269,0,0.53,0.86,0.47
2013,28,Rice,554.5,28,41.41,2167,2136.239262,0,0.5,0.98,0.61
2014,28,Rice,873.4,29.5,38.58,2179,2019.572321,1,0.69,0.88,0.61
2015,28,Rice,554.5,27.96,13.28,2000,2040.247069,0,0.11,0,0.55
2016,28,Rice,554.5,29.33,16.21,2276,2153.576735,0,0.62,0.1,0.64
2017,28,Rice,554.5,27.67,14.17,2355,2217.159892,0,0,0.03,0.67
2008,28,Wheat,567.8,29.0166,31.37778,2614,2972.732495,0.04,0.51,0.63,0.76
2009,28,Wheat,567.8,30.33333,37.25,3314,2939.367881,0.04,1,0.84,1
2010,28,Wheat,554.5,29.45455,41.58333,3275,2924.037849,0,0.67,0.99,0.99
2011,28,Wheat,554.5,28.81818,41.91667,3125,2990.384844,0,0.43,1,0.94
2012,28,Wheat,554.5,29.08333,38,3294,3051.572009,0,0.53,0.86,0.99
2013,28,Wheat,554.5,28,41.41,2931,2844.160968,0,0.5,0.98,0.87
2014,28,Wheat,873.4,29.5,38.58,2355,2347.554435,1,0.69,0.88,0.67
2015,28,Wheat,554.5,27.96,13.28,2742,2607.016307,0,0.11,0,0.8
2016,28,Wheat,554.5,29.33,16.21,3252,3056.945106,0,0.62,0.1,0.98
2017,28,Wheat,554.5,27.67,14.17,3274,3128.78235,0,0,0.03,0.99
