Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,29,Bajra,440.3,28.86,30.74481,1178,1277.862846,0,0.48,0.72,0.32
2009,29,Bajra,440.3,30.25,34.75,411,378.8072282,0,1,0.85,0.11
2010,29,Bajra,463.8,29.75,39.08333,1311,1428.551673,0.16,0.81,1,0.36
2011,29,Bajra,463.8,28.91667,38.25,1538,1541.229905,0.16,0.5,0.97,0.42
2012,29,Bajra,463.8,29.08333,34.33333,1236,1336.745609,0.16,0.56,0.84,0.34
2013,29,Bajra,463.8,29.33,37.25,1331,1294.332768,0.16,0.66,0.94,0.37
2014,29,Bajra,591.1,29.33,34.33,1445,1374.129935,1,0.66,0.84,0.4
2015,29,Bajra,463.8,27.75,37.16667,907,858.4830987,0.16,0.06,0.93,0.25
2016,29,Bajra,463.8,27.58,11.83,1475,1365.444174,0.16,0,0.07,0.41
2017,29,Bajra,463.8,27.75,9.71,767,796.8900068,0.16,0.06,0,0.21
2008,29,Jowar,440.3,28.86,30.74481,565,535.5133243,0,0.48,0.72,0.16
2009,29,Jowar,440.3,30.25,34.75,250,381.7923672,0,1,0.85,0.07
2010,29,Jowar,463.8,29.75,39.08333,700,559.8316478,0.16,0.81,1,0.19
2011,29,Jowar,463.8,28.91667,38.25,750,579.8698643,0.16,0.5,0.97,0.21
2012,29,Jowar,463.8,29.08333,34.33333,636,564.1011075,0.16,0.56,0.84,0.18
2013,29,Jowar,463.8,29.33,37.25,583,727.0567605,0.16,0.66,0.94,0.16
2014,29,Jowar,591.1,29.33,34.33,800,599.190093,1,0.66,0.84,0.22
2015,29,Jowar,463.8,27.75,37.16667,556,585.7273846,0.16,0.06,0.93,0.15
2016,29,Jowar,463.8,27.58,11.83,1000,514.9398966,0.16,0,0.07,0.28
2017,29,Jowar,463.8,27.75,9.71,0,432.7657353,0.16,0.06,0,0
2008,29,Maize,440.3,28.86,30.74481,1720,1704.93877,0,0.48,0.72,0.47
2009,29,Maize,440.3,30.25,34.75,1000,1298.488608,0,1,0.85,0.28
2010,29,Maize,463.8,29.75,39.08333,1786,1720.334088,0.16,0.81,1,0.49
2011,29,Maize,463.8,28.91667,38.25,1563,1605.455444,0.16,0.5,0.97,0.43
2012,29,Maize,463.8,29.08333,34.33333,2000,1762.691407,0.16,0.56,0.84,0.55
2013,29,Maize,463.8,29.33,37.25,1600,1606.532916,0.16,0.66,0.94,0.44
2014,29,Maize,591.1,29.33,34.33,1769,1734.4255,1,0.66,0.84,0.49
2015,29,Maize,463.8,27.75,37.16667,1300,1229.782776,0.16,0.06,0.93,0.36
2016,29,Maize,463.8,27.58,11.83,1500,1592.451618,0.16,0,0.07,0.41
2017,29,Maize,463.8,27.75,9.71,2000,1320.930059,0.16,0.06,0,0.55
2008,29,Rice,440.3,28.86,30.74481,0,-5.968879189,0,0.48,0.72,0
2009,29,Rice,440.3,30.25,34.75,0,-5.968879189,0,1,0.85,0
2010,29,Rice,463.8,29.75,39.08333,0,-5.968879189,0.16,0.81,1,0
2011,29,Rice,463.8,28.91667,38.25,0,41.79273081,0.16,0.5,0.97,0
2012,29,Rice,463.8,29.08333,34.33333,0,-5.968879189,0.16,0.56,0.84,0
2013,29,Rice,463.8,29.33,37.25,0,-5.968879189,0.16,0.66,0.94,0
2014,29,Rice,591.1,29.33,34.33,0,-5.968879189,1,0.66,0.84,0
2015,29,Rice,463.8,27.75,37.16667,0,117.4646947,0.16,0.06,0.93,0
2016,29,Rice,463.8,27.58,11.83,0,-5.968879189,0.16,0,0.07,0
2017,29,Rice,463.8,27.75,9.71,0,-5.968879189,0.16,0.06,0,0
2008,29,Wheat,440.3,28.86,30.74481,3525,3459.255591,0,0.48,0.72,0.97
2009,29,Wheat,440.3,30.25,34.75,3244,3360.530014,0,1,0.85,0.89
2010,29,Wheat,463.8,29.75,39.08333,3421,3461.072847,0.16,0.81,1,0.94
2011,29,Wheat,463.8,28.91667,38.25,2923,3193.315791,0.16,0.5,0.97,0.81
2012,29,Wheat,463.8,29.08333,34.33333,3269,3404.35839,0.16,0.56,0.84,0.9
2013,29,Wheat,463.8,29.33,37.25,3270,3520.326234,0.16,0.66,0.94,0.9
2014,29,Wheat,591.1,29.33,34.33,3490,3579.336739,1,0.66,0.84,0.96
2015,29,Wheat,463.8,27.75,37.16667,3500,3516.925891,0.16,0.06,0.93,0.97
2016,29,Wheat,463.8,27.58,11.83,3625,3591.064936,0.16,0,0.07,1
2017,29,Wheat,463.8,27.75,9.71,3320,3336.165485,0.16,0.06,0,0.92
