Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,31,Bajra,668.3,28.96222,31.99185,1451,1490.615444,1,0.47,0.69,0.33
2009,31,Bajra,668.3,30.25,38.08333,476,427.4854941,1,1,0.88,0.11
2010,31,Bajra,613.9,29.75,41.75,1545,1604.935851,0,0.79,1,0.35
2011,31,Bajra,613.9,28.91667,40.08333,1278,1386.343261,0,0.45,0.95,0.29
2012,31,Bajra,613.9,29.08333,35.41667,1265,1287.677769,0,0.52,0.8,0.29
2013,31,Bajra,613.9,29.08,38.58,1310,1312.10324,0,0.52,0.9,0.3
2014,31,Bajra,668.3,29.58,35.58,1457,1400.065491,1,0.72,0.8,0.33
2015,31,Bajra,613.9,28.17,33.83333,1111,1212.066281,0,0.14,0.75,0.25
2016,31,Bajra,613.9,27.83,14.28,1459,1422.282899,0,0,0.13,0.33
2017,31,Bajra,613.9,28,10.32,1528,1435.819495,0,0.07,0,0.35
2008,31,Jowar,668.3,28.96222,31.99185,500,480.0594612,1,0.47,0.69,0.11
2009,31,Jowar,668.3,30.25,38.08333,154,362.7440658,1,1,0.88,0.04
2010,31,Jowar,613.9,29.75,41.75,571,567.3430689,0,0.79,1,0.13
2011,31,Jowar,613.9,28.91667,40.08333,448,425.9626618,0,0.45,0.95,0.1
2012,31,Jowar,613.9,29.08333,35.41667,571,561.9642605,0,0.52,0.8,0.13
2013,31,Jowar,613.9,29.08,38.58,284,350.6772099,0,0.52,0.9,0.06
2014,31,Jowar,668.3,29.58,35.58,675,685.4306217,1,0.72,0.8,0.15
2015,31,Jowar,613.9,28.17,33.83333,464,470.6996844,0,0.14,0.75,0.11
2016,31,Jowar,613.9,27.83,14.28,433,472.9500201,0,0,0.13,0.1
2017,31,Jowar,613.9,28,10.32,508,474.5750478,0,0.07,0,0.12
2008,31,Maize,668.3,28.96222,31.99185,1070,1409.005668,1,0.47,0.69,0.24
2009,31,Maize,668.3,30.25,38.08333,1043,1318.692708,1,1,0.88,0.24
2010,31,Maize,613.9,29.75,41.75,1227,1348.33668,0,0.79,1,0.28
2011,31,Maize,613.9,28.91667,40.08333,998,1222.180211,0,0.45,0.95,0.23
2012,31,Maize,613.9,29.08333,35.41667,1147,1275.890715,0,0.52,0.8,0.26
2013,31,Maize,613.9,29.08,38.58,990,1265.10647,0,0.52,0.9,0.23
2014,31,Maize,668.3,29.58,35.58,1096,1262.774488,1,0.72,0.8,0.25
2015,31,Maize,613.9,28.17,33.83333,989,1201.25897,0,0.14,0.75,0.22
2016,31,Maize,613.9,27.83,14.28,1048,1492.160954,0,0,0.13,0.24
2017,31,Maize,613.9,28,10.32,4396,2680.467929,0,0.07,0,1
2008,31,Rice,668.3,28.96222,31.99185,0,-5.968879189,1,0.47,0.69,0
2009,31,Rice,668.3,30.25,38.08333,1571,1663.655713,1,1,0.88,0.36
2010,31,Rice,613.9,29.75,41.75,300,599.8873551,0,0.79,1,0.07
2011,31,Rice,613.9,28.91667,40.08333,0,54.67650597,0,0.45,0.95,0
2012,31,Rice,613.9,29.08333,35.41667,0,-5.968879189,0,0.52,0.8,0
2013,31,Rice,613.9,29.08,38.58,0,-5.968879189,0,0.52,0.9,0
2014,31,Rice,668.3,29.58,35.58,2167,1506.708939,1,0.72,0.8,0.49
2015,31,Rice,613.9,28.17,33.83333,2000,1583.809921,0,0.14,0.75,0.45
2016,31,Rice,613.9,27.83,14.28,2000,1349.243126,0,0,0.13,0.45
2017,31,Rice,613.9,28,10.32,2500,2085.357588,0,0.07,0,0.57
2008,31,Wheat,668.3,28.96222,31.99185,2924,3097.622392,1,0.47,0.69,0.67
2009,31,Wheat,668.3,30.25,38.08333,3323,3563.205212,1,1,0.88,0.76
2010,31,Wheat,613.9,29.75,41.75,3210,3294.616312,0,0.79,1,0.73
2011,31,Wheat,613.9,28.91667,40.08333,3454,3463.0328,0,0.45,0.95,0.79
2012,31,Wheat,613.9,29.08333,35.41667,3419,3369.743836,0,0.52,0.8,0.78
2013,31,Wheat,613.9,29.08,38.58,3424,3367.953393,0,0.52,0.9,0.78
2014,31,Wheat,668.3,29.58,35.58,2090,2141.057294,1,0.72,0.8,0.48
2015,31,Wheat,613.9,28.17,33.83333,3128,3069.47831,0,0.14,0.75,0.71
2016,31,Wheat,613.9,27.83,14.28,3626,3592.875852,0,0,0.13,0.82
2017,31,Wheat,613.9,28,10.32,3333,3113.346784,0,0.07,0,0.76
