Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,32,Bajra,645,29.14943,32.74852,818,912.931,0.14,0.51,0.64,0.04
2009,32,Bajra,645,30.33333,42.75,397,560.5510452,0.14,1,0.91,0.01
2010,32,Bajra,639.7,30,45.41667,1091,978.1627536,0,0.86,0.98,0.06
2011,32,Bajra,639.7,28.81818,46.08333,1267,1191.03684,0,0.37,1,0.07
2012,32,Bajra,639.7,29.08333,43.66667,1000,856.9960757,0,0.48,0.93,0.05
2013,32,Bajra,639.7,28.91,45.91,932,975.6995751,0,0.41,1,0.05
2014,32,Bajra,645,30,41,1125,914.3868711,0.14,0.86,0.86,0.06
2015,32,Bajra,639.7,27.95,9.22,800,801.873382,0,0.01,0,0.04
2016,32,Bajra,639.7,29.33,11.44,1000,1029.299093,0,0.58,0.06,0.05
2017,32,Bajra,677.8,27.92,9.25,895,806.4796713,1,0,0,0.04
2008,32,Jowar,645,29.14943,32.74852,676,682.1707944,0.14,0.51,0.64,0.03
2009,32,Jowar,645,30.33333,42.75,316,376.103995,0.14,1,0.91,0
2010,32,Jowar,639.7,30,45.41667,602,640.3566507,0,0.86,0.98,0.02
2011,32,Jowar,639.7,28.81818,46.08333,562,575.238182,0,0.37,1,0.02
2012,32,Jowar,639.7,29.08333,43.66667,621,620.8626589,0,0.48,0.93,0.02
2013,32,Jowar,639.7,28.91,45.91,577,583.031723,0,0.41,1,0.02
2014,32,Jowar,645,30,41,558,565.8426066,0.14,0.86,0.86,0.02
2015,32,Jowar,639.7,27.95,9.22,417,428.1905744,0,0.01,0,0.01
2016,32,Jowar,639.7,29.33,11.44,459,475.8074009,0,0.58,0.06,0.01
2017,32,Jowar,677.8,27.92,9.25,863,659.9976265,1,0,0,0.04
2008,32,Maize,645,29.14943,32.74852,1376,2590.020664,0.14,0.51,0.64,0.08
2009,32,Maize,645,30.33333,42.75,939,2270.770841,0.14,1,0.91,0.05
2010,32,Maize,639.7,30,45.41667,1368,1661.86318,0,0.86,0.98,0.08
2011,32,Maize,639.7,28.81818,46.08333,1591,1872.279916,0,0.37,1,0.1
2012,32,Maize,639.7,29.08333,43.66667,1873,1989.294956,0,0.48,0.93,0.12
2013,32,Maize,639.7,28.91,45.91,1705,1902.44447,0,0.41,1,0.11
2014,32,Maize,645,30,41,1575,1802.082087,0.14,0.86,0.86,0.1
2015,32,Maize,639.7,27.95,9.22,1119,2417.954624,0,0.01,0,0.06
2016,32,Maize,639.7,29.33,11.44,1215,2682.292339,0,0.58,0.06,0.07
2017,32,Maize,677.8,27.92,9.25,13344,5914.397545,1,0,0,1
2008,32,Rice,645,29.14943,32.74852,739,1244.984574,0.14,0.51,0.64,0.03
2009,32,Rice,645,30.33333,42.75,610,818.6540933,0.14,1,0.91,0.02
2010,32,Rice,639.7,30,45.41667,1619,1540.790038,0,0.86,0.98,0.1
2011,32,Rice,639.7,28.81818,46.08333,1044,1055.641234,0,0.37,1,0.06
2012,32,Rice,639.7,29.08333,43.66667,1035,1121.947194,0,0.48,0.93,0.06
2013,32,Rice,639.7,28.91,45.91,1146,1117.100294,0,0.41,1,0.06
2014,32,Rice,645,30,41,1075,1080.888173,0.14,0.86,0.86,0.06
2015,32,Rice,639.7,27.95,9.22,959,1087.39089,0,0.01,0,0.05
2016,32,Rice,639.7,29.33,11.44,1128,1154.626002,0,0.58,0.06,0.06
2017,32,Rice,677.8,27.92,9.25,1141,1186.431555,1,0,0,0.06
2008,32,Wheat,645,29.14943,32.74852,2107,2170.30158,0.14,0.51,0.64,0.14
2009,32,Wheat,645,30.33333,42.75,2340,2271.260857,0.14,1,0.91,0.16
2010,32,Wheat,639.7,30,45.41667,2394,2497.793823,0,0.86,0.98,0.16
2011,32,Wheat,639.7,28.81818,46.08333,2800,2716.372182,0,0.37,1,0.19
2012,32,Wheat,639.7,29.08333,43.66667,2456,2531.354076,0,0.48,0.93,0.16
2013,32,Wheat,639.7,28.91,45.91,2840,2762.549548,0,0.41,1,0.19
2014,32,Wheat,645,30,41,2516,2579.462871,0.14,0.86,0.86,0.17
2015,32,Wheat,639.7,27.95,9.22,2818,2826.343765,0,0.01,0,0.19
2016,32,Wheat,639.7,29.33,11.44,3121,3155.75111,0,0.58,0.06,0.22
2017,32,Wheat,677.8,27.92,9.25,2840,3017.765986,1,0,0,0.19
